GENE_SYMBOL	NAME	COSMIC_GENE_ID	CHROMOSOME	GENOME_START	GENOME_STOP	CHR_BAND	SOMATIC	GERMLINE	TUMOUR_TYPES_SOMATIC	TUMOUR_TYPES_GERMLINE	CANCER_SYNDROME	TISSUE_TYPE	MOLECULAR_GENETICS	ROLE_IN_CANCER	MUTATION_TYPES	TRANSLOCATION_PARTNER	OTHER_GERMLINE_MUT	OTHER_SYNDROME	TIER	SYNONYMS
AFDN	afadin, adherens junction formation factor	COSG74504	6	167826922	167972023	6q27	y	n	AL			L	Dom	oncogene, fusion	T	KMT2A	n		1	AFDN,ENSG00000130396.20,4301,AF-6,AF6
AFF1	AF4/FMR2 family member 1	COSG69615	4	86935002	87141054	4q22.1	y	n	AL			L	Dom	fusion	T	KMT2A	n		1	AFF1,ENSG00000172493.20,P51825,4299,AF-4,AF4
AFF3	AF4/FMR2 family member 3	COSG86784	2	99545419	100142739	2q11.2	y	n	ALL, T-ALL			L	Dom	oncogene, fusion	T	KMT2A, RUNX1	n		1	AFF3,ENSG00000144218.18,P51826,3899,MLLT2-like
AFF4	AF4/FMR2 family member 4	COSG73994	5	132875379	132963634	5q31.1	y	n	ALL			L	Dom	oncogene, fusion	T	KMT2A	n		1	AFF4,ENSG00000072364.12,Q9UHB7,27125,AF5Q31,MCEF
AKAP9	A-kinase anchoring protein 9	COSG89677	7	91940867	92110673	7q21.2	y	n	papillary thyroid			E	Dom	fusion	T	BRAF	n		2	AKAP9,ENSG00000127914.16,Q99996,10142,AKAP350,AKAP450,CG-NAP,HYPERION,KIAA0803,LQT11,MU-RMS-40.16A,PPP1R45,PRKA9,YOTIAO
AKT1	AKT serine/threonine kinase 1	COSG100756	14	104769349	104795751	14q32.33	y	n	breast, colorectal, ovarian, NSCLC			E	Dom	oncogene	Mis		n		1	AKT1,ENSG00000142208.15,P31749,207,AKT,PKB,PRKBA,RAC
AKT2	AKT serine/threonine kinase 2	COSG75261	19	40230317	40285536	19q13.2	y	n	ovarian, pancreatic			E	Dom	oncogene	A		n		1	AKT2,ENSG00000105221.16,P31751,208
AKT3	AKT serine/threonine kinase 3	COSG82568	1	243488233	243851079	1q44	y	n	GBM			O		oncogene	A		n		2	AKT3,ENSG00000117020.16,Q9Y243,10000,PKBG,PRKBG,RAC-gamma
ALDH2	aldehyde dehydrogenase 2 family member	COSG78204	12	111766887	111817529	12q24.12	y	n	leiomyoma			M	Dom	fusion	T	HMGA2	n		2	ALDH2,ENSG00000111275.12,P05091,217
ALK	ALK receptor tyrosine kinase	COSG59677	2	29192774	29921566	2p23.2	y	y	ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour	neuroblastoma	familial neuroblastoma	L, E, M	Dom	oncogene, fusion	T, Mis, A	NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1	n		1	ALK,ENSG00000171094.17,Q9UM73,238,CD246
AMER1	APC membrane recruitment protein 1	COSG111928	X	64185117	64205744	Xq11.2	y	n	Wilms tumour			O	Rec	TSG	F, D, N, Mis		n		1	AMER1,ENSG00000184675.9,Q5JTC6,139285,FLJ39827,RP11-403E24.2,WTX
ANK1	ankyrin 1	COSG110999	8	41653220	41896762	8p11.21	y	n	CCRCC			E			Mis		n		2	ANK1,ENSG00000029534.20,P16157,286,SPH1
APC	APC, WNT signaling pathway regulator	COSG108961	5	112707498	112846239	5q22.2	y	y	colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS	colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS	adenomatous polyposis coli; Turcot syndrome	E, M, O	Rec	TSG	D, Mis, N, F, S		n		1	APC,ENSG00000134982.16,P25054,324,DP2,DP2.5,DP3,PPP1R46
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	COSG78257	22	38982347	38992804	22q13.1	n	y		breast cancer		E	Rec	oncogene, TSG	D		n		1	APOBEC3B,ENSG00000179750.15,Q9UH17,9582,FLJ21201,PHRBNL
AR	androgen receptor	COSG86691	X	67544032	67730619	Xq12	y	y	prostate			E	Dom	oncogene	Mis		y	Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy 	1	AR,ENSG00000169083.16,P10275,367,AIS,HUMARA,NR3C4,SMAX1
ARAF	A-Raf proto-oncogene, serine/threonine kinase	COSG63174	X	47561100	47571920	Xp11.3	y	n	cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis			E, L		oncogene	Mis		n		2	ARAF,ENSG00000078061.12,369
ARHGAP26	Rho GTPase activating protein 26	COSG66814	5	142770377	143229011	5q31.3	y	n	AML, MDS			L	Dom	TSG, fusion	T, F, S	KMT2A	n		1	ARHGAP26,ENSG00000145819.16,Q9UNA1,23092,GRAF,KIAA0621,OPHN1L,OPHN1L1
ARHGAP35	Rho GTPase activating protein 35	COSG59943	19	46918676	47005077	19q13.32	y	n	endometrial carcinoma			E		TSG	N, Mis, F, O		n		1	ARHGAP35,ENSG00000160007.18,Q9NRY4,2909,GRF-1,KIAA1722,P190A,p190ARhoGAP,p190RhoGAP
ARHGAP5	Rho GTPase activating protein 5	COSG113539	14	32076114	32159728	14q12	y	n	colon cancer, glioma			E, O		oncogene	Mis		n		2	ARHGAP5,ENSG00000100852.12,Q13017,394,RhoGAP5,p190-B,p190BRhoGAP
ARHGEF10	Rho guanine nucleotide exchange factor 10	COSG72704	8	1823976	1958641	8p23.3	y	n	colon cancer			E		TSG	D		n		2	ARHGEF10,ENSG00000104728.15,O15013,9639,Gef10,KIAA0294
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	COSG64462	1	17539835	17697874	1p36.13	y	n	lymphoma			L		TSG	D		n		2	ARHGEF10L,ENSG00000074964.16,Q9HCE6,55160,FLJ10521,KIAA1626
ARHGEF12	Rho guanine nucleotide exchange factor 12	COSG109622	11	120336914	120489936	11q23.3	y	n	AML			L	Dom	TSG, fusion	T	KMT2A	n		1	ARHGEF12,ENSG00000196914.8,Q9NZN5,23365,KIAA0382,LARG
ARID1A	AT-rich interaction domain 1A	COSG71518	1	26693236	26782110	1p36.11	y	n	clear cell ovarian carcinoma, RCC, breast			E	Rec	TSG, fusion	Mis, N, F, S, D, T	MAST2	n		1	ARID1A,ENSG00000117713.19,O14497,8289,B120,BAF250,BAF250a,C10rf4,P270
ARID1B	AT-rich interaction domain 1B	COSG107409	6	156777374	157210779	6q25.3	y	n	breast, hepatocellular carcinoma, clear cell ovarian carcinoma			E	Rec	TSG	Mis, F, N, O		n		1	ARID1B,ENSG00000049618.22,Q8NFD5,57492,6A3-5,BAF250b,DAN15,ELD/OSA1,KIAA1235,p250R
ARID2	AT-rich interaction domain 2	COSG89256	12	45729665	45908040	12q12	y	n	hepatocellular carcinoma			E	Rec	TSG	N, S, F		n		1	ARID2,ENSG00000189079.15,Q68CP9,196528,BAF200,DKFZp686G052,FLJ30619,KIAA1557
ARNT	aryl hydrocarbon receptor nuclear translocator	COSG69731	1	150809705	150876768	1q21.3	y	n	AML			L	Dom	oncogene, TSG, fusion	T	ETV6	n		1	ARNT,ENSG00000143437.20,P27540,405,HIF-1beta,bHLHe2
ASPM	abnormal spindle microtubule assembly	COSG93625	1	197084128	197146694	1q31.3	y	y	breast cancer, lung cancer, endometrial cancer, melanoma		nevoid basal cell carcinoma syndrome	E, O			A, F, Mis, N		n		2	ASPM,ENSG00000066279.17,Q8IZT6,259266,ASP,Calmbp1,FLJ10517,FLJ10549
ASPSCR1	ASPSCR1, UBX domain containing tether for SLC2A4	COSG109748	17	81976807	82017406	17q25.3	y	n	alveolar soft part sarcoma			M	Dom	fusion	T	TFE3	n		1	ASPSCR1,ENSG00000169696.15,Q9BZE9,79058,ASPL,ASPS,TUG,UBXD9,UBXN9
ASXL1	ASXL transcriptional regulator 1	COSG63327	20	32358330	32439319	20q11.21	y	n	MDS, CMML			L	Rec	TSG	F, N, Mis		y	Bohring-Opitz syndrome	1	ASXL1,ENSG00000171456.17,Q8IXJ9,171023,KIAA0978
ASXL2	ASXL transcriptional regulator 2	COSG71126	2	25733753	25878516	2p23.3	y	n	melanoma, CCRCC, AML			E, L		TSG	O,N, F		n		2	ASXL2,ENSG00000143970.16,Q76L83,55252,ASXH2,FLJ10898,KIAA1685
ATF1	activating transcription factor 1	COSG90645	12	50763710	50821122	12q13.12	y	n	malignant melanoma of soft parts, angiomatoid fibrous histiocytoma			E, M	Dom	oncogene, fusion	T	EWSR1, FUS	n		1	ATF1,ENSG00000123268.8,P18846,466,TREB36
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	COSG101434	2	215311817	215349773	2q35	y	n	ALCL			L	Dom	fusion	T	ALK	n		1	ATIC,ENSG00000138363.14,P31939,471,AICARFT,IMPCHASE,PURH
ATM	ATM serine/threonine kinase	COSG89944	11	108222484	108369102	11q22.3	y	y	T-PLL	leukaemia, lymphoma, medulloblastoma, glioma	ataxia-telangiectasia	L, O	Rec	TSG	D, Mis, N, F, S		n		1	ATM,ENSG00000149311.18,Q13315,472,TEL1,TELO1
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	COSG58843	1	116372668	116410261	1p13.1	y	n	adrenal aldosterone producing adenoma			E	Dom	oncogene, TSG	Mis, O		n		1	ATP1A1,ENSG00000163399.15,P05023,476
ATP2B3	ATPase plasma membrane Ca2+ transporting 3	COSG102707	X	153517676	153582939	Xq28	y	n	adrenal aldosterone producing adenoma			E	Dom	TSG	O		n		1	ATP2B3,ENSG00000067842.17,Q16720,492,CFAP39,PMCA3
ATR	ATR serine/threonine kinase	COSG73559	3	142449235	142578826	3q23	y	y	endometrial, gastric, epithelial ovarian, myeloma	oropharyngeal	familial cutaneous telangiectasia and cancer syndrome	E, L	Dom	TSG	F, Mis		y	Seckel syndrome 1	1	ATR,ENSG00000175054.14,Q13535,545,FRP1,MEC1,SCKL,SCKL1
ATRX	ATRX, chromatin remodeler	COSG106026	X	77504878	77786269	Xq21.1	y	n	pancreatic neuroendocrine tumours, paediatric GBM			E	Rec	TSG	Mis, F, N		y	ATR-X (alpha thalassemia/mental retardation) syndrome	1	ATRX,ENSG00000085224.21,P46100,546,XH2,XNP
AXIN1	axin 1	COSG75575	16	287440	352673	16p13.3	y	n	colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma			E, O	Rec	TSG	D, Mis, N, F, S		n		1	AXIN1,ENSG00000103126.14,O15169,8312,PPP1R49
AXIN2	axin 2	COSG96143	17	65528563	65561647	17q24.1	y	y	colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma	colorectal carcinoma	oligodontia-colorectal cancer syndrome	E	Rec	TSG	Mis, F, N		n		1	AXIN2,ENSG00000168646.12,Q9Y2T1,8313,DKFZp781B0869,MGC126582
B2M	beta-2-microglobulin	COSG79234	15	44711477	44718877	15q21.1	y	n	DLBCL, melanoma, colorectal adenocarcinoma			E, L	Rec	TSG	Mis, N, F		y	Immunodeficiency 43	1	B2M,ENSG00000166710.17,P61769,567
BAP1	BRCA1 associated protein 1	COSG113385	3	52401013	52410350	3p21.1	y	y	uveal melanoma, breast, NSCLC, RCC	mesothelioma, skin and uveal melanoma, kidney cancer	BAP1 tumor predisposition syndrome	E	Rec	TSG	N, Mis, F, S, O		n		1	BAP1,ENSG00000163930.9,Q92560,8314,KIAA0272,UCHL2,hucep-6
BARD1	BRCA1 associated RING domain 1	COSG71483	2	214725646	214809711	2q35	y	y	breast cancer	ovarian cancer, breast cancer, endometrioid cancer		E		TSG	Mis		n		1	BARD1,ENSG00000138376.10,Q99728,580
BAX	BCL2 associated X, apoptosis regulator	COSG106962	19	48954815	48961798	19q13.33	y	n	colorectal cancer			E		TSG	F, Mis		n		1	BAX,ENSG00000087088.19,Q07812,581,BCL2L4
BAZ1A	bromodomain adjacent to zinc finger domain 1A	COSG114282	14	34752731	34875647	14q13.2	y	n	uterine carcinosarcoma, colon cancer			E		TSG	D		n		2	BAZ1A,ENSG00000198604.10,Q9NRL2,11177,ACF1,WALp1,WCRF180,hACF1
BCL10	BCL10, immune signaling adaptor	COSG86862	1	85266248	85277090	1p22.3	y	n	MALT			L	Dom	TSG, fusion	T	IGH	n		1	BCL10,ENSG00000142867.12,O95999,8915,CARMEN,CIPER,CLAP,c-E10,mE10
BCL11A	BCL11A, BAF complex component	COSG82877	2	60450520	60555154	2p16.1	y	n	B-CLL			L	Dom	oncogene, fusion	T	IGH	n		1	BCL11A,ENSG00000119866.21,53335,BCL11A-L,BCL11A-S,BCL11A-XL,CTIP1,HBFQTL5,ZNF856
BCL11B	BCL11B, BAF complex component	COSG102032	14	99169287	99271524	14q32.2	y	n	T-ALL			L	Dom	oncogene, TSG, fusion	T	TLX3	n		1	BCL11B,ENSG00000127152.17,Q9C0K0,64919,CTIP-2,CTIP2,hRIT1-alpha
BCL2	BCL2, apoptosis regulator	COSG84340	18	63123346	63320128	18q21.33	y	n	NHL, CLL			L	Dom	oncogene, fusion	T	IGH	n		1	BCL2,ENSG00000171791.12,P10415,596,Bcl-2,PPP1R50
BCL2L12	BCL2 like 12	COSG58663	19	49665142	49673916	19q13.33	y	n	melanoma, SCC			E		oncogene	Mis		n		2	BCL2L12,ENSG00000126453.9,Q9HB09,83596
BCL3	BCL3, transcription coactivator	COSG88188	19	44747705	44760044	19q13.32	y	n	CLL			L	Dom	oncogene, fusion	T	IGH	n		1	BCL3,ENSG00000069399.14,P20749,602
BCL6	BCL6, transcription repressor	COSG113725	3	187721377	187745727	3q27.3	y	n	NHL, CLL			L	Dom	oncogene, fusion	T, Mis	IG loci, ZNFN1A1, LCP1, PIM1, TFRC, CIITA, NACA, HSPCB, HSP90AA1, HIST1H4I, IL21R,  POU2AF1, RHOH, EIF4A2, SRSF3	n		1	BCL6,ENSG00000113916.17,P41182,604,BCL5,BCL6A,LAZ3,ZBTB27
BCL7A	BCL7A, BAF complex component	COSG72854	12	122019422	122062044	12q24.31	y	n	BNHL			L	Dom	fusion	T	MYC	n		1	BCL7A,ENSG00000110987.8,Q4VC05,605
BCL9	B cell CLL/lymphoma 9	COSG114870	1	147541412	147626216	1q21.2	y	n	B-ALL			L	Dom	oncogene, fusion	T	IGH, IGL	n		1	BCL9,ENSG00000116128.10,O00512,607
BCL9L	B cell CLL/lymphoma 9 like	COSG105158	11	118893875	118925608	11q23.3	y	n	colorectal cancer, endometrial carcinoma, gastric cancer			E		oncogene, TSG	Mis, F		n		1	BCL9L,ENSG00000186174.12,Q86UU0,283149,DLNB11
BCLAF1	BCL2 associated transcription factor 1	COSG107886	6	136256627	136289851	6q23.3	y	n	melanoma, SCC			E			Mis		n		2	BCLAF1,ENSG00000029363.16,Q9NYF8,9774,BTF,KIAA0164
BCOR	BCL6 corepressor	COSG64323	X	40049815	40177329	Xp11.4	y	n	retinoblastoma, AML, APL (translocation)			L, M	Rec	TSG, fusion	F, N, S, T	RARA	y	Oculo-facio-cardio-dental genetic	1	BCOR,ENSG00000183337.16,Q6W2J9,54880,FLJ20285,KIAA1575
BCORL1	BCL6 corepressor like 1	COSG92901	X	129981107	130058083	Xq26.1	y	n	AML, HNSCC			E, L		oncogene, TSG	Mis, N, F		n		1	BCORL1,ENSG00000085185.15,Q5H9F3,63035,FLJ11362
BCR	BCR, RhoGEF and GTPase activating protein	COSG70269	22	23179704	23318037	22q11.23	y	n	CML, ALL, AML			L	Dom	fusion	T	ABL1,  FGFR1, JAK2	n		1	BCR,ENSG00000186716.20,P11274,613,ALL,CML,D22S662,PHL
BIRC3	baculoviral IAP repeat containing 3	COSG64326	11	102317450	102339403	11q22.2	y	n	CLL, MALT, MCL, MM			L	Dom	oncogene, TSG, fusion	D, F, N, T, Mis	MALT1	n		1	BIRC3,ENSG00000023445.13,Q13489,330,MALT2,MIHC,RNF49,c-IAP2,cIAP2,hiap-1
BIRC6	baculoviral IAP repeat containing 6	COSG78096	2	32357028	32618899	2p22.3	y	n	melanoma, gastric adenocarcinoma, lung adenocarcinoma			E		oncogene, fusion	T, Mis	ALK	n		2	BIRC6,ENSG00000115760.13,Q9NR09,57448,BRUCE
BLM	BLM RecQ like helicase	COSG113995	15	90717327	90816165	15q26.1	n	y		leukaemia, lymphoma, skin squamous cell, other tumour types	Bloom syndrome	L, E	Rec	TSG	Mis, N, F		n		1	BLM,ENSG00000197299.10,P54132,641,BS,RECQ2,RECQL3
BMP5	bone morphogenetic protein 5	COSG107337	6	55753645	55875564	6p12.1	y	n	melanoma			E			Mis		n		2	BMP5,ENSG00000112175.7,P22003,653
BMPR1A	bone morphogenetic protein receptor type 1A	COSG95149	10	86756601	86932838	10q23.2	n	y		gastrointestinal polyps	juvenile polyposis	E	Rec	oncogene, TSG	Mis, N, F		n		1	BMPR1A,ENSG00000107779.13,P36894,657,ALK3,CD292
BRAF	B-Raf proto-oncogene, serine/threonine kinase	COSG99109	7	140719327	140924928	7q34	y	n	melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric			E, O	Dom	oncogene, fusion	Mis, T, O	AKAP9, KIAA1549, CEP88, LSM14A, SND1, FCHSD1, SLC45A3, FAM131B, RNF130, CLCN6, MKRN1, GNAI1, AGTRAP	y	Cardio-facio-cutaneous syndrome	1	BRAF,ENSG00000157764.13,673,BRAF1
BRCA1	BRCA1, DNA repair associated	COSG75342	17	43044295	43170245	17q21.31	y	y	ovarian	breast, ovarian	hereditary breast/ovarian cancer	E	Rec	TSG	D, Mis, N, F, S		n		1	BRCA1,ENSG00000012048.21,P38398,672,BRCC1,FANCS,PPP1R53,RNF53
BRCA2	BRCA2, DNA repair associated	COSG68498	13	32315474	32400266	13q13.1	y	y	breast, ovarian, pancreatic	breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)	hereditary breast/ovarian cancer	L, E	Rec	TSG	D, Mis, N, F, S		n		1	BRCA2,ENSG00000139618.14,P51587,675,BRCC2,FAD,FAD1,XRCC11
BRD3	bromodomain containing 3	COSG76553	9	134030305	134068535	9q34.2	y	n	lethal midline carcinoma of young people			E	Dom	oncogene, fusion	T	NUTM1	n		1	BRD3,ENSG00000169925.16,Q15059,8019,KIAA0043,ORFX,RING3L
BRD4	bromodomain containing 4	COSG97085	19	15235519	15332545	19p13.12	y	n	lethal midline carcinoma of young people			E	Dom	oncogene, fusion	T	NUTM1	n		1	BRD4,ENSG00000141867.17,O60885,23476,CAP,HUNK1,HUNKI,MCAP
BRIP1	BRCA1 interacting protein C-terminal helicase 1	COSG80352	17	61681266	61863521	17q23.2	n	y		AML, leukaemia, breast	Fanconi anaemia J, breast cancer susceptiblity	L, E	Rec	TSG	F, N, Mis		n		1	BRIP1,ENSG00000136492.8,Q9BX63,83990,BACH1,FANCJ,OF
BTG1	BTG anti-proliferation factor 1	COSG72977	12	92140278	92145897	12q21.33	y	n	B-CLL			L	Dom	TSG, fusion	T	MYC	n		1	BTG1,ENSG00000133639.4,P62324,694,APRO2
BTG2	BTG anti-proliferation factor 2	COSG94281	1	203305491	203309602	1q32.1	y	n	DLBCL			L		TSG	Mis		n		2	BTG2,ENSG00000159388.5,P78543,7832,APRO1,MGC126063,MGC126064,PC3,TIS21
BTK	Bruton tyrosine kinase	COSG96537	X	101349447	101390796	Xq22.1	y	n	CLL, mantle cell lymphoma, WM			L	Dom	oncogene, TSG	Mis		y	agammaglobulinemia	1	BTK,ENSG00000010671.15,Q06187,695,ATK,PSCTK1,XLA
BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	COSG78158	15	40161023	40221136	15q15.1	n	y		rhabdomyosarcoma	mosaic variegated aneuploidy	M	Rec	TSG	Mis, N, F, S		n		1	BUB1B,ENSG00000156970.12,O60566,701,BUBR1,Bub1A,MAD3L,SSK1
C15orf65	chromosome 15 open reading frame 65	COSG63238	15	55408548	55418764	15q21.3	y	n	PMBL, Hodgkin lymphoma			L	Dom	fusion	T	CIITA	n		2	C15orf65,ENSG00000261652.2,H3BRN8,145788,FLJ27352
CACNA1D	calcium voltage-gated channel subunit alpha1 D	COSG88428	3	53328963	53813733	3p21.1	y	n	adrenal aldosterone producing adenoma			E	Dom	oncogene	Mis		y	Syndrome featuring primary aldosteronism, seizures and neuromuscular disease.	1	CACNA1D,ENSG00000157388.16,Q01668,776,CACH3,CACN4,Cav1.3
CALR	calreticulin	COSG80775	19	12938578	12944489	19p13.13	y	n	MPN, MDS			L	Dom	oncogene	F, Mis		n		1	CALR,ENSG00000179218.13,P27797,811,CRT,FLJ26680,RO,SSA,cC1qR
CAMTA1	calmodulin binding transcription activator 1	COSG61199	1	6785324	7769706	1p36.31	y	n	epithelioid haemangioendothelioma			M	Dom	TSG, fusion	T	WWTR1	n		1	CAMTA1,ENSG00000171735.18,Q9Y6Y1,23261,KIAA0833
CANT1	calcium activated nucleotidase 1	COSG63866	17	78991717	79009867	17q25.3	y	n	prostate			E	Dom	fusion	T	ETV4	n		1	CANT1,ENSG00000171302.16,Q8WVQ1,124583,SCAN-1,SHAPY
CARD11	caspase recruitment domain family member 11	COSG91032	7	2906141	3043945	7p22.2	y	n	DLBCL			L	Dom	oncogene	Mis		n		1	CARD11,ENSG00000198286.9,Q9BXL7,84433,BIMP3,CARMA1
CARS	cysteinyl-tRNA synthetase	COSG73613	11	3000922	3057613	11p15.4	y	n	ALCL			L	Dom	TSG, fusion	T	ALK	n		1	CARS,ENSG00000110619.17,P49589,833,CARS1
CASP3	caspase 3	COSG65355	4	184627696	184649509	4q35.1	y	n	ovarian cancer			E		TSG	D		n		2	CASP3,ENSG00000164305.18,P42574,836,CPP32,CPP32B,Yama,apopain
CASP8	caspase 8	COSG90904	2	201233443	201287711	2q33.1	y	n	hepatocellular, oral squamous cell, breast			E	Rec	TSG	N, S, F		n		1	CASP8,ENSG00000064012.21,Q14790,841,Casp-8,FLICE,MACH,MCH5
CASP9	caspase 9	COSG102681	1	15490832	15526534	1p36.21	y	n	glioma			O		TSG	D		n		2	CASP9,ENSG00000132906.17,P55211,842,APAF-3,ICE-LAP6,MCH6,PPP1R56
CBFA2T3	CBFA2/RUNX1 translocation partner 3	COSG96429	16	88874858	88977204	16q24.3	y	n	AML			L	Dom	TSG, fusion	T	RUNX1, GLIS2	n		1	CBFA2T3,ENSG00000129993.14,O75081,863,ETO2,MTG16,MTGR2,RUNX1T3,ZMYND4
CBFB	core-binding factor subunit beta	COSG115535	16	67029116	67101058	16q22.1	y	n	AML			L	Dom	TSG, fusion	T	MYH11	n		1	CBFB,ENSG00000067955.13,Q13951,865,PEBP2B
CBL	Cbl proto-oncogene	COSG108842	11	119206276	119313926	11q23.3	y	n	AML, JMML, MDS			L	Dom/Rec	oncogene, TSG, fusion	T, Mis, S, O	KMT2A	n		1	CBL,ENSG00000110395.6,P22681,867,RNF55,c-Cbl
CBLB	Cbl proto-oncogene B	COSG80246	3	105655461	105869552	3q13.11	y	n	AML			L	Rec	TSG	Mis, S		n		1	CBLB,ENSG00000114423.19,Q13191,868,Cbl-b,RNF56
CBLC	Cbl proto-oncogene C	COSG97247	19	44777869	44800634	19q13.32	y	n	AML			L	Rec	oncogene, TSG	Mis		n		1	CBLC,ENSG00000142273.11,Q9ULV8,23624,CBL-3,CBL-SL,RNF57
CCDC6	coiled-coil domain containing 6	COSG108617	10	59788763	59906656	10q21.2	y	n	papillary thyroid, CML, NSCLC			E	Dom	TSG, fusion	T	RET, PDGFRB	n		1	CCDC6,ENSG00000108091.10,Q16204,8030,H4,PTC,TPC
