chrom	start	end	cpg_label	summary_label	compare_label	background_category	category_pop_count	category_pop_freq	asm_fishers_pvalue	mean_hap1_methyl	mean_hap2_methyl	mean_meth_delta	mean_abs_meth_delta_zscore	mean_combined_methyl	mean_combined_methyl_delta	mean_combined_methyl_zscore	num_phased_cpgs	num_partial_cpgs	num_unphased_cpgs	median_total_coverage	median_hap1_coverage	median_hap2_coverage
chr20	58888390	58890146	nanoimprint_GNASA/B_HGNC:4392	Uncategorized	Uncategorized	MALE	24	0.15584415584415584	1.0					0.659356136729854	0.14357938372985402	1.4462057522255154	0	190	0	19	0	0
chr1	1214154	1215153	promoter_TNFRSF4_HGNC:11918	Unmethylated	HypoMethylated	MALE	0	0.0	1.0					0.19846039377289373	-0.46444783722710625	-5.7928511584179265	0	32	0	14	0	0
chr1	9069636	9070635	promoter_SLC2A5_HGNC:11010	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	1.8866153234365446e-16	0.2585034013605442	0.7976190476190477	0.5391156462585035	7.996937122251978	0.3914141414141414	-0.3564051705858586	-6.0561671547529885	21	0	0	11	7	4
chr1	13285138	13286137	promoter_PRAMEF8_HGNC:24074	Unmethylated	HypoMethylated	MALE	0	0.0	0.34782608695650147	0.02	0.0	-0.02	-1.0215101439854637	0.028809523809523806	-0.6924405201904762	-6.447979834000832	10	0	0	20	5	9
chr1	20588097	20589096	promoter_CDA_HGNC:1712	AlleleSpecificMethylation	HyperASM	MALE	2	0.012987012987012988	6.959643692380557e-14	0.5925925925925924	0.04938271604938271	-0.5432098765432098	4.122958168795863	0.3514887436456064	0.2225675286456064	2.869121595406673	9	0	0	17	9	8
chr1	23168857	23169856	promoter_LUZP1_HGNC:14985	Unmethylated	HypoMethylated	MALE	35	0.22727272727272727	1.0					0.03801169590643275	-0.20905502809356724	-3.0386022727001714	0	38	0	18	0	0
chr1	26189602	26190601	promoter_CATSPER4_HGNC:23220	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	1.6317745076644362e-17	0.24542124542124538	0.825951825951826	0.5805305805305806	5.2378463730436255	0.5353708554946945	-0.25262998150530547	-3.7853551606825993	13	0	0	18	7	10
chr1	28176691	28177690	promoter_PTAFR_HGNC:9582	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	9.71005418152647e-13	0.15555555555555556	0.0	-0.15555555555555556	-0.042116896913961886	0.036231884057971016	-0.504096798942029	-4.188353565804819	18	0	0	21	8	12
chr1	38881588	38882587	promoter_GJA9_HGNC:19155	AlleleSpecificMethylation	Uncategorized	MALE	8	0.05194805194805195	0.00004113943578846171	0.4305555555555556	1.0	0.5694444444444444	2.2193099109866434	0.868421052631579	0.09559378863157897	0.6975594823508097	2	0	0	19	8	10
chr1	58577253	58578252	promoter_TACSTD2_HGNC:11530	AlleleSpecificMethylation	HyperASM	MALE	2	0.012987012987012988	9.309892931458534e-133	0.07231404958677684	0.8094008264462811	0.7370867768595041	4.067022068442744	0.4616421128278836	0.1984914528278836	1.5017930276357372	44	0	0	22	11	11
chr1	68050628	68051627	promoter_DIRAS3_HGNC:687	AlleleSpecificMethylation	Uncategorized	MALE	124	0.8051948051948052	4.1700890858598605e-266	0.0	0.9772079772079771	0.9772079772079771	0.7368402901929821	0.3656585579662504	-0.1338060060337496	-1.6306463474229023	39	0	0	26	17	9
chr1	68449955	68450954	promoter_RPE65_HGNC:10294	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	1.0	0.0	0.125	0.125	-0.7691874564976086	0.09090909090909091	-0.520175561090909	-3.1726378242788336	1	0	0	22	4	8
chr1	78044966	78045965	promoter_GIPC2_HGNC:18177	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	5.157109988789679e-38	0.7323529411764705	0.09978991596638653	-0.6325630252100839	10.088996920688032	0.24682814302191466	0.14213506802191467	2.7930526706366443	34	0	0	17	4	7
chr1	79006731	79007730	promoter_ADGRL4_HGNC:20822	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	1.4798014298126563e-32	0.7741046831955921	0.22727272727272727	-0.5468319559228648	7.655512527202887	0.4743211334120426	0.18531833141204257	3.474507854780361	22	0	0	22	12	10
chr1	86156773	86157772	promoter_COL24A1_HGNC:20821	Unmethylated	HypoMethylated	MALE	20	0.12987012987012986	0.0076212257834895325	0.12781954887218044	0.07198284171968382	-0.05583670715249664	-0.39156038913055885	0.06091544651101438	-0.21074627648898564	-3.1646501668424882	38	0	0	21	7	14
chr1	89126115	89127114	promoter_GBP2_HGNC:4183	AlleleSpecificMethylation	HyperASM	MALE	2	0.012987012987012988	5.88716423860029e-37	0.23611111111111108	0.9880952380952381	0.751984126984127	4.403973235255425	0.48333333333333345	-0.04009504366666655	-0.3506506954478545	12	0	0	25	18	7
chr1	89578592	89579591	promoter_ENSG00000288629_HGNC:NA	Unmethylated	HypoMethylated	MALE	0	0.0	1.0					0.10427807486631016	-0.8620423771336899	-22.755041172026832	0	0	2	33	0	0
chr1	91404838	91405837	promoter_HFM1_HGNC:20193	Unmethylated	HypoMethylated	MALE	5	0.032467532467532464	0.01445742652106988	0.11805555555555555	0.015625	-0.10243055555555555	-0.2285719931930086	0.09134615384615384	-0.23101384615384613	-3.0093201415838835	8	0	0	25	17	8
chr1	109711251	109712250	promoter_GSTM5_HGNC:4637	AlleleSpecificMethylation	Uncategorized	MALE	9	0.05844155844155844	1.2823242104493105e-51	0.28453453453453453	0.9073359073359075	0.6228013728013729	2.474224181149935	0.617889317889318	0.21118030788931802	1.443148386526634	37	0	0	15	8	7
chr1	110872148	110873147	promoter_CD53_HGNC:1686	Unmethylated	HypoMethylated	MALE	72	0.4675324675324675	1.0	0.0	0.0	0.0	-1.0140858984856356	0.0	-0.200415877	-4.5797023653225715	5	0	0	29	16	12
chr1	115028826	115029825	promoter_TSHB_HGNC:12372	AlleleSpecificMethylation	Uncategorized	MALE	10	0.06493506493506493	6.3966588669733505e-9	0.9019607843137255	0.3055555555555556	-0.5964052287581699	2.1475252898303197	0.6482758620689655	-0.08904850793103447	-0.9744206617127968	3	0	0	29	17	12
chr1	119414150	119415149	promoter_HSD3B2_HGNC:5218	Unmethylated	HypoMethylated	MALE	0	0.0	0.6020686103159707	0.2152777777777778	0.15044642857142856	-0.0648313492063492	-0.876691730254737	0.18942661605705086	-0.4941305449429491	-4.132641555867946	4	0	0	27	12	15
chr1	145844630	145845629	promoter_NUDT17_HGNC:26618	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	2.6388066047241e-55	0.5288018433179723	0.0	-0.5288018433179723	6.239516453183467	0.21264231499051234	-0.03223770100948767	-0.7181593255069103	31	0	0	17	8	9
chr1	149813694	149814693	promoter_H3C13_HGNC:25311	Unmethylated	HypoMethylated	MALE	2	0.012987012987012988	1.0	0.0	0.0	0.0	-1.172095377652187	0.0	-0.373340752	-4.28553212251473	6	0	0	18	9	8
chr1	149936880	149937879	promoter_MTMR11_HGNC:24307	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	5.591634187742805e-31	0.9003472222222223	0.25	-0.6503472222222223	6.870825997549956	0.6342293906810036	-0.27193794631899637	-4.105010356179684	12	0	0	31	16	9
chr1	151805420	151806419	promoter_LINGO4_HGNC:31814	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	1.0					0.16	-0.513138541	-4.4220445000064075	0	10	0	14	0	0
chr1	152089065	152090064	promoter_TCHHL1_HGNC:31796	AlleleSpecificMethylation	Uncategorized	MALE	11	0.07142857142857142	5.218824947625156e-7	0.25	0.95	0.7	2.8423427779694634	0.45014245014245013	-0.3521167908575499	-2.635249436711795	2	0	0	26	14	10
chr1	152115445	152116444	promoter_TCHH_HGNC:11791	AlleleSpecificMethylation	Uncategorized	MALE	19	0.12337662337662338	2.672438641019201e-10	0.625	0.0	-0.625	1.898082151894981	0.16833333333333333	-0.3631875336666667	-2.8559964826210478	5	0	0	16	8	8
chr1	152159229	152160228	promoter_RPTN_HGNC:26809	Unmethylated	HypoMethylated	MALE	0	0.0	0.0014392929974026383	0.5303030303030303	0.14814814814814814	-0.38215488215488214	2.751747537081732	0.19047619047619047	-0.7363953605238095	-12.35752900159178	3	0	0	21	11	10
chr1	152662380	152663379	promoter_LCE2D_HGNC:16518	AlleleSpecificMethylation	HyperASM	MALE	1	0.006493506493506494	4.967769694787354e-13	0.1607142857142857	0.9047619047619048	0.7440476190476191	5.058540990748523	0.4047619047619048	-0.40681053523809513	-4.738298984445004	6	0	0	14	7	7
chr1	152774140	152775139	promoter_LCE1F_HGNC:29467	Unmethylated	HypoMethylated	MALE	0	0.0	1.68275343640133e-11	0.5809523809523809	0.09523809523809523	-0.4857142857142857	4.694944803426954	0.11047619047619046	-0.7248018855238095	-9.640866237077404	7	0	0	24	9	15
chr1	152806652	152807651	promoter_LCE1C_HGNC:29464	AlleleSpecificMethylation	HyperASM	MALE	1	0.006493506493506494	7.54219136164695e-10	0.7777777777777778	0.0	-0.7777777777777778	4.985732586919488	0.15592105263157893	-0.493212175368421	-4.426061862652469	3	1	0	19	6	14
chr1	152810971	152811970	promoter_LCE1B_HGNC:16611	AlleleSpecificMethylation	HyperASM	MALE	1	0.006493506493506494	4.960055541814926e-12	0.9259259259259259	0.3461538461538461	-0.5797720797720798	4.215517450659078	0.6287878787878788	-0.25484646221212126	-3.421898821192479	6	0	0	22	9	13
chr1	152946206	152947205	promoter_SPRR5_HGNC:53428	Unmethylated	HypoMethylated	MALE	0	0.0	0.5960238588897344	0.16666666666666666	0.2222222222222222	0.05555555555555556	-0.6473846838250423	0.18627450980392157	-0.6492550401960784	-6.813048179278857	6	0	0	17	11	6
chr1	154155074	154156073	promoter_NUP210L_HGNC:29915	Methylated	HyperMethylated	MALE	15	0.09740259740259741	1.0					0.9944444444444444	0.3011331404444444	3.400043406972635	0	18	0	20	0	0
chr1	155637605	155638604	promoter_ENSG00000287839_HGNC:NA	Methylated	HyperMethylated	MALE	1	0.006493506493506494	0.002930491667836117	0.8181818181818182	0.8942052099946836	0.07602339181286548	-0.005610533342435505	0.8477506727506728	0.2181346677506728	3.1812079343644317	22	0	0	36	17	19
chr1	156601480	156602479	promoter_GPATCH4_HGNC:25982	Unmethylated	HypoMethylated	MALE	0	0.0	1.0	0.9833333333333334	1.0	0.01666666666666668	-0.6891457359084195	0.19403808196911645	-0.20809167303088352	-6.502192211708212	3	30	0	27	20	4
chr1	157552516	157553515	promoter_FCRL5_HGNC:18508	Unmethylated	HypoMethylated	MALE	0	0.0	1.0					0.10144927536231885	-0.31861678963768114	-4.682710256869882	0	0	6	21	0	0
chr1	157598086	157599085	promoter_FCRL4_HGNC:18507	Unmethylated	HypoMethylated	MALE	0	0.0	0.012803251678325236	0.0	0.125	0.125	-0.3266560287053793	0.0510204081632653	-0.6128610638367348	-6.006726646305501	7	0	0	28	8	8
chr1	157700770	157701769	promoter_FCRL3_HGNC:18506	Unmethylated	HypoMethylated	MALE	0	0.0	0.000021764919085897402	0.16666666666666666	0.0	-0.16666666666666666	0.2494397621335004	0.017857142857142856	-0.7538286851428571	-6.57632641840508	8	0	0	21	9	12
chr1	157820121	157821120	promoter_FCRL1_HGNC:18509	Unmethylated	HypoMethylated	MALE	0	0.0	0.00014755057305395917	0.05263157894736842	0.24397926634768738	0.19134768740031896	0.4551234793662742	0.1452302504934084	-0.5732052765065916	-7.32577711480492	6	0	0	37	17	19
chr1	158179895	158180894	promoter_CD1D_HGNC:1637	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	7.060471861761924e-7	0.10544217687074828	0.012698412698412698	-0.09274376417233558	0.07970755007904426	0.03771209633278599	-0.397140405667214	-5.744977723257759	21	0	0	29	14	15
chr1	159438722	159439721	promoter_OR10J1_HGNC:8175	AlleleSpecificMethylation	HyperASM	MALE	1	0.006493506493506494	4.039611907659688e-12	0.038461538461538464	0.75	0.7115384615384616	3.9297996772837274	0.3295454545454546	-0.4418991384545454	-3.568653286184476	4	0	0	33	13	8
chr1	159714590	159715589	promoter_CRP_HGNC:2367	Unmethylated	HypoMethylated	MALE	0	0.0	0.1774249039783205	0.16059757236227826	0.2619047619047619	0.10130718954248365	-0.6289547052129103	0.13833333333333334	-0.6535642966666667	-7.1824191661618135	7	0	0	24	17	6
chr1	160262550	160263549	promoter_DCAF8_HGNC:24891	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	0.5762748311353042	0.10103383458646617	0.10902255639097742	0.00798872180451128	-0.7884831742252425	0.10993932198918348	-0.23994006401081652	-6.097286017522553	38	0	0	19	8	7
chr1	160647045	160648044	promoter_SLAMF1_HGNC:10903	Unmethylated	HypoMethylated	MALE	71	0.461038961038961	1.0	0.0	0.0	0.0	-1.281486124583375	0.0	-0.214136666	-3.200398012918546	9	0	0	13	9	4
chr1	160738247	160739246	promoter_SLAMF7_HGNC:21394	Unmethylated	HypoMethylated	MALE	0	0.0	0.000027850114298090418	0.5314285714285715	0.05714285714285714	-0.47428571428571437	3.0432712128784094	0.1842962962962963	-0.48206942870370373	-4.464893612404908	5	0	0	26	5	7
chr1	161309969	161310968	promoter_MPZ_HGNC:7225	Unmethylated	HypoMethylated	MALE	0	0.0	0.0016748930079772246	0.4226190476190476	0.09935897435897435	-0.3232600732600733	5.625377667881537	0.13700592885375495	-0.831801433146245	-17.07361202162169	4	0	0	22	6	13
chr1	161662143	161663142	promoter_FCGR2B_HGNC:3618	Unmethylated	HypoMethylated	MALE	0	0.0	0.00006275479122636919	0.27999999999999997	0.0	-0.27999999999999997	2.5438013618803317	0.15905797101449276	-0.7456060129855073	-16.689576514264278	5	0	0	24	15	8
chr1	161706229	161707228	promoter_FCRLA_HGNC:18504	Unmethylated	HypoMethylated	MALE	0	0.0	0.36308804607428147	0.12003968253968253	0.047619047619047616	-0.07242063492063491	-0.8047703197778154	0.09098639455782313	-0.5136866144421769	-5.494017791799887	7	0	0	24	18	6
chr1	171184300	171185299	promoter_FMO2_HGNC:3770	AlleleSpecificMethylation	Uncategorized	MALE	19	0.12337662337662338	1.7003051090583323e-15	0.0	0.6111111111111112	0.6111111111111112	1.7912587810377916	0.3405797101449275	-0.19329046285507245	-1.5194684592667789	6	0	0	23	8	15
chr1	172444070	172445069	promoter_PIGC_HGNC:8960	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	1.0					0.09866967394745173	-0.23831119305254828	-4.842630596037408	0	0	18	26	0	0
chr1	180631022	180632021	promoter_XPR1_HGNC:12827	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	0.00036175353019592506	0.0479876160990712	0.003289473684210526	-0.04469814241486068	0.5828058732528023	0.01699703804966963	-0.26449651395033036	-15.052598795738115	19	0	0	28	14	14
chr1	196887052	196888051	promoter_CFHR4_HGNC:16979	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	4.3716225040683665e-21	0.6427244582043343	0.0	-0.6427244582043343	4.766276514365258	0.2729389483065954	-0.5632705616934046	-5.4142893407814885	5	0	0	33	19	15
chr1	202009587	202010586	promoter_ELF3_HGNC:3318	Unmethylated	HypoMethylated	MALE	0	0.0	2.1921286132256244e-8	0.0	0.234375	0.234375	1.7300095730802043	0.1286764705882353	-0.40729066141176473	-6.675463709299569	16	0	0	17	5	12
chr1	203351123	203352122	promoter_FMOD_HGNC:3774	AlleleSpecificMethylation	HyperASM	MALE	10	0.06493506493506493	3.635299786991734e-54	0.14627192982456141	0.8547846889952152	0.7085127591706538	3.0364017465528716	0.5077502936084172	0.10412111860841716	0.7113097014387975	19	0	0	24	13	11
chr1	203493153	203494152	promoter_OPTC_HGNC:8158	Unmethylated	HypoMethylated	MALE	0	0.0	1.1514968818586104e-7	0.0	0.3055555555555555	0.3055555555555555	2.2223360106648142	0.13636363636363635	-0.7281652346363636	-8.794093423193932	12	0	0	11	5	6
chr1	206052173	206053172	promoter_RHEX_HGNC:25341	Unmethylated	HypoMethylated	MALE	0	0.0	3.2224169805808757e-10	0.1543803418803419	0.008771929824561403	-0.14560841205578046	1.537808547738857	0.03747391687171322	-0.8459670591282868	-20.547990063039528	24	0	0	49	13	19
chr1	206469476	206470475	promoter_IKBKE_HGNC:14552	Unmethylated	HypoMethylated	MALE	0	0.0	1.0	0.0	0.0	0.0	-1.185767248659387	0.0	-0.506657127	-6.076325429236312	12	0	0	19	8	10
chr1	206769773	206770772	promoter_IL19_HGNC:5990	Unmethylated	HypoMethylated	MALE	0	0.0	0.007315626953504222	0.0	0.09259259259259259	0.09259259259259259	-0.39105576110465834	0.0	-0.759495355	-10.593173725471265	9	0	0	16	10	6
chr1	207032757	207033756	promoter_C1orf116_HGNC:28667	Unmethylated	HypoMethylated	MALE	0	0.0	5.129933621411531e-11	0.49999999999999994	0.015151515151515152	-0.4848484848484848	1.8579038201780487	0.15151515151515152	-0.5532382344848485	-4.295745542007186	6	0	0	22	10	11
chr1	222548105	222549104	promoter_HHIPL2_HGNC:25842	AlleleSpecificMethylation	HyperASM	MALE	3	0.01948051948051948	6.772631809561815e-17	0.18181818181818182	0.8928571428571429	0.711038961038961	4.1718015560237385	0.3007518796992481	-0.3608494143007519	-3.2624856781822476	7	0	0	19	11	8
chr1	247604586	247605585	promoter_OR2G3_HGNC:15008	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	0.00007374960988747254	0.7763636363636364	0.25	-0.5263636363636364	6.93310240442982	0.5122222222222221	-0.4188052057777779	-7.007644793288893	5	0	0	20	11	4
chr1	247923889	247924888	promoter_OR2AJ1_HGNC:15001	Unmethylated	HypoMethylated	MALE	0	0.0	0.5340329835082506	0.025641025641025644	0.0	-0.025641025641025644	-0.8013979566272476	0.027457757296466972	-0.8615818757035331	-11.981736752612262	6	0	0	29	12	7
chr1	248094184	248095183	promoter_OR2L13_HGNC:19578	Unmethylated	HypoMethylated	MALE	0	0.0	1.0	0.0	0.041666666666666664	0.041666666666666664	-0.8877624912165809	0.08333333333333333	-0.5801618846666666	-4.1475532504771415	3	0	0	24	8	8
chr1	248196265	248197264	promoter_OR2M3_HGNC:8269	Unmethylated	HypoMethylated	MALE	0	0.0	1.0					0.1282312925170068	-0.4148666974829932	-3.855389643655276	0	0	7	20	0	0
chr1	248303425	248304424	promoter_OR2T12_HGNC:19592	Unmethylated	HypoMethylated	MALE	0	0.0	1.0					0.15849002849002847	-0.6274695595099715	-3.7501418444767176	0	0	4	26	0	0
chr1	248360665	248361664	promoter_OR2T4_HGNC:15016	Unmethylated	HypoMethylated	MALE	0	0.0	0.012987959926876192	0.13633699633699634	0.0	-0.13633699633699634	-0.8982477151226753	0.11299999999999999	-0.500308807	-4.038516346731208	5	0	0	24	13	8
chr2	38888875	38889874	promoter_ARHGEF33_HGNC:37252	AlleleSpecificMethylation	HyperASM	MALE	2	0.012987012987012988	2.4378039502864986e-6	0.9230769230769231	0.2222222222222222	-0.7008547008547009	4.829551685973664	0.6590909090909092	-0.23500518690909078	-2.626528096067233	2	0	0	22	13	9
chr2	42567632	42568631	promoter_MTA3_HGNC:23784	Unmethylated	HypoMethylated	MALE	0	0.0	1.1838527223122185e-8	0.2110969387755102	0.03571428571428571	-0.1753826530612245	1.844145563406765	0.06880252100840337	-0.44071631999159666	-10.38850411602647	28	0	0	16	7	8
chr2	70934900	70935899	promoter_ATP6V1B1_HGNC:853	AlleleSpecificMethylation	Uncategorized	MALE	5	0.032467532467532464	1.953726026050629e-11	0.85	0.3347222222222222	-0.5152777777777778	2.499028659798386	0.587045739348371	-0.06436210965162903	-0.4906031735651325	8	0	0	19	10	9
chr2	94870430	94871429	promoter_TEKT4_HGNC:31012	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	1.9025290372057806e-44	0.006666666666666667	0.6714285714285714	0.6647619047619048	5.333789960215159	0.225	-0.11723873799999998	-1.2661943644607339	30	0	0	16	5	7
chr2	100469482	100470481	promoter_NMS_HGNC:32203	AlleleSpecificMethylation	HyperASM	MALE	2	0.012987012987012988	1.8322250218832217e-20	0.015873015873015872	0.7761904761904762	0.7603174603174604	4.7398218376834755	0.39598997493734334	-0.4122471610626567	-4.473480289006468	7	0	0	18	9	9
chr2	102422160	102423159	promoter_IL18RAP_HGNC:5989	AlleleSpecificMethylation	Uncategorized	MALE	3	0.01948051948051948	0.00004297735113146421	0.5333333333333333	0.0	-0.5333333333333333	2.888010804865098	0.35661764705882354	0.06752152505882353	0.43955147037207176	3	0	0	16	10	6
chr2	102472226	102473225	promoter_SLC9A4_HGNC:11077	Unmethylated	HypoMethylated	MALE	32	0.2077922077922078	1.0	0.0	0.027777777777777776	0.027777777777777776	-0.9510609372344409	0.0	-0.276039956	-3.3930239568745155	3	0	0	20	7	13
chr2	112137385	112138384	promoter_FBLN7_HGNC:26740	AlleleSpecificMethylation	HyperASM	MALE	0	0.0	2.2696913417719684e-68	0.595933014354067	0.08997493734335842	-0.5059580770107086	5.660511795758278	0.29603988603988596	0.17027813603988595	3.3212969014442915	38	0	0	26	10	15
chr2	112784494	112785493	promoter_IL1A_HGNC:5991	AlleleSpecificMethylation	HyperASM	MALE	2	0.012987012987012988	3.6222485542620974e-27	0.7916666666666666	0.14201183431952663	-0.64965483234714	3.5577033035938155	0.34009861932938856	-0.09489904667061144	-0.8045855040808617	13	0	0	24	8	13
chr2	112977006	112978005	promoter_IL36G_HGNC:15741	Unmethylated	HypoMethylated	MALE	0	0.0	1.0					0.08333333333333333	-0.7620516436666667	-9.890637645089575	0	8	0	11	0	0
chr2	127700497	127701496	promoter_SFT2D3_HGNC:28767	Unmethylated	HypoMethylated	MALE	6	0.03896103896103896	0.3978174603175928	0.0	0.002325581395348837	0.002325581395348837	-0.7913285135180186	0.0009302325581395349	-0.2736231864418605	-9.611638287578137	43	0	0	23	14	9
chr2	142876664	142877663	promoter_KYNU_HGNC:6469	Unmethylated	HypoMethylated	MALE	0	0.0	0.24509803921568712	0.42857142857142855	0.0	-0.42857142857142855	2.717047495985128	0.19187084520417855	-0.6320438927958215	-6.554797519781088	1	2	0	26	14	4
chr2	157256705	157257704	promoter_GALNT5_HGNC:4127	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	0.5057406361754186	0.014705882352941176	0.0	-0.014705882352941176	-1.174164974750912	0.02170566502463054	-0.3529018289753694	-4.920689932304812	8	0	0	29	16	13
chr2	166128021	166129020	promoter_SCN1A_HGNC:10585	Unmethylated	HypoMethylated	MALE	1	0.006493506493506494	0.08154074580803641	0.06666666666666667	0.2777777777777778	0.21111111111111114	1.2316600097397945	0.10416666666666667	-0.3444267623333333	-5.263329838319882	2	0	0	25	16	9
chr2	170177147	170178146	promoter_MYO3B_HGNC:15576	Unmethylated	HypoMethylated	MALE	0	0.0	2.842542172248988e-10	0.0	0.4050925925925926	0.4050925925925926	3.459257062016586	0.15085638998682474	-0.7747056990131753	-11.513182117780032	6	0	0	23	14	9
chr2	174597805	174598804	promoter_WIPF1_HGNC:12736	Unmethylated	HypoMethylated	MALE	0	0.0	1.0	0.0	0.0	0.0	-1.2373295851920871	0.015668563300142248	-0.4670380466998577	-5.695477721287414	5	0	0	37	16	18
chr2	203935763	203936762	promoter_ICOS_HGNC:5351	Methylated	HyperMethylated	MALE	0	0.0	0.001495386565974113	0.8349358974358974	1.0	0.16506410256410256	0.22564725953271664	0.9333791208791209	0.3834486368791209	3.9416166719713877	4	0	0	26	12	14
