Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID	HGNC symbol	HGNC ID
16	89557325	89624176	ENSG00000197912	SPG7	11237
16	57769642	57791162	ENSG00000140854	KATNB1	6217
16	89710839	89724253	ENSG00000131165	CHMP1A	8740
16	58191811	58231824	ENSG00000070770	CSNK2A2	2459
17	73622925	73663269	ENSG00000108469	RECQL5	9950
17	72912176	72919351	ENSG00000182040	USH1G	16356
17	79617489	79630142	ENSG00000185527	PDE6G	8789
17	79845713	79849462	ENSG00000183684	ALYREF	19071
17	48638429	48704835	ENSG00000006283	CACNA1G	1394
17	79989500	79992080	ENSG00000169750	RAC3	9803
17	12895708	12921504	ENSG00000006744	ELAC2	14198
17	78109013	78120982	ENSG00000141543	EIF4A3	18683
17	7565097	7590856	ENSG00000141510	TP53	11998
17	7465192	7475287	ENSG00000161956	SENP3	17862
17	7486847	7496107	ENSG00000129255	MPDU1	7207
18	20378224	20606451	ENSG00000101773	RBBP8	9891
18	47349183	47721463	ENSG00000167306	MYO5B	7603
18	51795774	51847636	ENSG00000101751	POLI	9182
18	56338618	56417371	ENSG00000172175	MALT1	6819
18	32073254	32471808	ENSG00000134769	DTNA	3057
18	56934267	56941318	ENSG00000134438	RAX	18662
18	158383	214629	ENSG00000101557	USP14	12612
18	67498394	67629039	ENSG00000150637	CD226	16961
18	2571510	2616634	ENSG00000080986	NDC80	16909
18	77439801	77514510	ENSG00000060069	CTDP1	2498
18	9102628	9134343	ENSG00000178127	NDUFV2	7717
19	18390563	18392432	ENSG00000130522	JUND	6206
19	41349443	41356352	ENSG00000255974	CYP2A6	2610
19	42829761	42882921	ENSG00000105429	MEGF8	3233
19	47421933	47508334	ENSG00000160007	ARHGAP35	4591
19	30302805	30315215	ENSG00000105173	CCNE1	1589
19	11200038	11244492	ENSG00000130164	LDLR	6547
19	13049392	13055303	ENSG00000179218	CALR	1455
19	1905377	1913444	ENSG00000213638	ADAT3	25151
19	39261611	39264132	ENSG00000205076	LGALS7	6568
19	54976210	54984411	ENSG00000167617	CDC42EP5	17408
19	5691845	5720583	ENSG00000196365	LONP1	9479
2	225334867	225450110	ENSG00000036257	CUL3	2553
2	203070903	203103331	ENSG00000116030	SUMO1	12502
2	175664091	175870097	ENSG00000128656	CHN1	1943
2	176968944	176974722	ENSG00000128713	HOXD11	5134
2	45168902	45173216	ENSG00000138083	SIX3	10889
2	74776153	74784681	ENSG00000115325	DOK1	2990
2	114647537	114720173	ENSG00000115091	ACTR3	170
2	219283815	219318018	ENSG00000127831	VIL1	12690
2	74056086	74100786	ENSG00000124356	STAMBP	16950
2	234216462	234255701	ENSG00000130561	SAG	10521
2	208986331	208989225	ENSG00000118231	CRYGD	2411
20	57875482	57901047	ENSG00000124205	EDN3	3178
20	55743804	55841685	ENSG00000101144	BMP7	1074
20	57414773	57486247	ENSG00000087460	GNAS	4392
20	62119366	62130505	ENSG00000101210	EEF1A2	3192
20	939095	982907	ENSG00000101282	RSPO4	16175
20	48120411	48184683	ENSG00000124212	PTGIS	9603
20	48697661	48732496	ENSG00000244687	UBE2V1	12494
20	49505585	49547958	ENSG00000101126	ADNP	15766
20	50400581	50419059	ENSG00000101115	SALL4	15924
20	32951041	33099198	ENSG00000078747	ITCH	13890
20	35518632	35580246	ENSG00000101347	SAMHD1	15925
21	30396950	30426809	ENSG00000156256	USP16	12614
21	33664124	33687095	ENSG00000170262	MRAP	1304
21	34775202	34851655	ENSG00000159128	IFNGR2	5440
21	35014706	35272165	ENSG00000205726	ITSN1	6183
21	35736323	35743688	ENSG00000159197	KCNE2	6242
21	40556102	40693485	ENSG00000185658	BRWD1	12760
21	44299754	44333414	ENSG00000160194	NDUFV3	7719
21	45666222	45682099	ENSG00000142182	DNMT3L	2980
21	45719934	45747259	ENSG00000141959	PFKL	8876
21	47556176	47575481	ENSG00000160282	FTCD	3974
21	47608055	47648738	ENSG00000160285	LSS	6708
22	26995242	27014052	ENSG00000100122	CRYBB1	2397
22	19466982	19508135	ENSG00000093009	CDC45	1739
22	19744226	19771116	ENSG00000184058	TBX1	11592
22	21562262	21581926	ENSG00000133475	GGT2	4251
22	23237555	23238014	ENSG00000211675	IGLC1	5855
22	23248512	23248973	ENSG00000211679	IGLC3	5857
22	23521891	23660224	ENSG00000186716	BCR	1014
22	38452318	38471708	ENSG00000100151	PICK1	9394
22	50883429	50913454	ENSG00000100241	SBF1	10542
22	50961997	50964868	ENSG00000130489	SCO2	10604
22	51061182	51066607	ENSG00000100299	ARSA	713
3	182733006	182833863	ENSG00000078070	MCCC1	6936
3	133464800	133497850	ENSG00000091513	TF	11740
3	9975506	9987097	ENSG00000163703	CRELD1	14630
3	14166440	14185179	ENSG00000170876	TMEM43	28472
3	119499331	119537332	ENSG00000144852	NR1I2	7968
3	52489134	52527087	ENSG00000010322	NISCH	18006
3	184063973	184079439	ENSG00000114859	CLCN2	2020
3	191046866	191116459	ENSG00000152492	CCDC50	18111
3	108541545	108573852	ENSG00000163519	TRAT1	30698
3	49506146	49573048	ENSG00000173402	DAG1	2666
3	195941093	196014828	ENSG00000161217	PCYT1A	8754
4	148402069	148466106	ENSG00000151617	EDNRA	3179
4	145030457	145061904	ENSG00000170180	GYPA	4702
4	110661852	110723335	ENSG00000205403	CFI	5394
4	75230860	75254468	ENSG00000124882	EREG	3443
4	185308867	185395734	ENSG00000168310	IRF2	6117
4	39289076	39367995	ENSG00000035928	RFC1	9969
4	80822303	81046608	ENSG00000163297	ANTXR2	21732
4	48137800	48271881	ENSG00000135605	TEC	11719
4	52886872	52904648	ENSG00000163069	SGCB	10806
4	55095264	55164414	ENSG00000134853	PDGFRA	8803
4	9783258	9785632	ENSG00000169676	DRD5	3026
5	133936834	133984961	ENSG00000152700	SAR1B	10535
5	156277549	156279539	ENSG00000231989	PPP1R2P3	16318
5	36152091	36184421	ENSG00000145604	SKP2	10901
5	94799599	94890711	ENSG00000198677	TTC37	23639
5	95087023	95158709	ENSG00000173221	GLRX	4330
5	161494546	161582542	ENSG00000113327	GABRG2	4087
5	40909354	40983041	ENSG00000112936	C7	1346
5	16473147	16617167	ENSG00000154153	FAM134B	25964
5	1392909	1445545	ENSG00000142319	SLC6A3	11049
5	174151536	174157896	ENSG00000120149	MSX2	7392
5	140011313	140013286	ENSG00000170458	CD14	1628
6	138188351	138204449	ENSG00000118503	TNFAIP3	11896
6	157099063	157531913	ENSG00000049618	ARID1B	18040
6	7727030	7881655	ENSG00000153162	BMP6	1073
6	139693393	139695757	ENSG00000164442	CITED2	1987
6	145822719	146057160	ENSG00000112425	EPM2A	3413
6	166778407	166796486	ENSG00000060762	MPC1	21606
6	76458909	76629254	ENSG00000196586	MYO6	7605
6	49398073	49430904	ENSG00000146085	MUT	7526
6	18128542	18155305	ENSG00000137364	TPMT	12014
6	64429876	66417118	ENSG00000188107	EYS	21555
6	129204342	129837714	ENSG00000196569	LAMA2	6482
7	113516832	113715975	ENSG00000154415	PPP1R3A	9291
7	81575760	82073114	ENSG00000153956	CACNA2D1	1399
7	87505531	87538856	ENSG00000006634	DBF4	17364
7	100464760	100471076	ENSG00000087077	TRIP6	12311
7	124462440	124570037	ENSG00000128513	POT1	17284
7	18126572	19042039	ENSG00000048052	HDAC9	14065
7	45951949	45961473	ENSG00000146674	IGFBP3	5472
7	128594948	128695198	ENSG00000064419	TNPO3	17103
7	56078744	56119297	ENSG00000146733	PSPH	9577
7	102993177	103086624	ENSG00000170615	SLC26A5	9359
7	73442119	73484237	ENSG00000049540	ELN	3327
8	145106167	145118735	ENSG00000178814	OPLAH	8149
8	90769975	90803291	ENSG00000104312	RIPK2	10020
8	19759228	19824769	ENSG00000175445	LPL	6677
8	42273993	42397069	ENSG00000168575	SLC20A2	10947
8	101162812	101166230	ENSG00000147669	POLR2K	9198
8	103265240	103425069	ENSG00000104517	UBR5	16806
8	55370495	55373448	ENSG00000164736	SOX17	18122
8	118532952	118552501	ENSG00000164758	MED30	23032
8	30891317	31031285	ENSG00000165392	WRN	12791
8	74692332	74791145	ENSG00000104343	UBE2W	25616
8	140742586	141468678	ENSG00000167632	TRAPPC9	30832
9	21367371	21368075	ENSG00000233816	IFNA13	5419
9	131644391	131680318	ENSG00000136802	LRRC8A	19027
9	33104080	33167354	ENSG00000086062	B4GALT1	924
9	132575223	132586413	ENSG00000136827	TOR1A	3098
9	133320316	133376661	ENSG00000130707	ASS1	758
9	35073832	35080013	ENSG00000221829	FANCG	3588
9	134452157	134615461	ENSG00000107263	RAPGEF1	4568
9	140513444	140764468	ENSG00000181090	EHMT1	24650
9	100395908	100436030	ENSG00000136937	NCBP1	7658
9	123577774	123605262	ENSG00000095261	PSMD5	9563
9	123970072	124095121	ENSG00000148180	GSN	4620
MT	577	647	ENSG00000210049	MT-TF	7481
MT	4329	4400	ENSG00000210107	MT-TQ	7495
MT	4402	4469	ENSG00000210112	MT-TM	7492
MT	5904	7445	ENSG00000198804	MT-CO1	7419
MT	7586	8269	ENSG00000198712	MT-CO2	7421
MT	8527	9207	ENSG00000198899	MT-ATP6	7414
MT	9207	9990	ENSG00000198938	MT-CO3	7422
MT	12337	14148	ENSG00000198786	MT-ND5	7461
MT	14149	14673	ENSG00000198695	MT-ND6	7462
MT	15888	15953	ENSG00000210195	MT-TT	7499
MT	15956	16023	ENSG00000210196	MT-TP	7494
X	48779305	48815648	ENSG00000068308	OTUD5	25402
X	119759648	119764005	ENSG00000171155	C1GALT1C1	24338
X	77320685	77384793	ENSG00000102144	PGK1	8896
X	153686621	153701989	ENSG00000130827	PLXNA3	9101
X	37639264	37672714	ENSG00000165168	CYBB	2578
X	47420516	47431307	ENSG00000078061	ARAF	646
X	99899215	99926296	ENSG00000102359	SRPX2	30668
X	48379546	48387104	ENSG00000147155	EBP	3133
X	48755195	48760420	ENSG00000102103	PQBP1	9330
X	70327254	70331958	ENSG00000147168	IL2RG	6010
X	115301975	115306225	ENSG00000180772	AGTR2	338
Y	14813160	14972764	ENSG00000114374	USP9Y	12633
Y	21154353	21154595	ENSG00000185275	CD24P4	1649
Y	2654896	2655740	ENSG00000184895	SRY	11311
