# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-04-24
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)
601699	gene	5740	PTGIS	ENSG00000124212
601836	gene	22920	KIFAP3	ENSG00000075945
601881	gene	30062	RAX	ENSG00000134438
601912	gene	7341	SUMO1	ENSG00000116030
602050	gene	5881	RAC3	ENSG00000169750
602054	gene	6899	TBX1	ENSG00000184058
602061	gene	2069	EREG	ENSG00000124882
602168	gene	7443	VRK1	ENSG00000100749
602184	gene	4731	NDUFV3	ENSG00000160194
602192	gene	102	ADAM10	ENSG00000137845
602442	gene	6453	ITSN1	ENSG00000205726
602670	gene	5427	POLE2	ENSG00000100479
602703	gene	10300	KATNB1	ENSG00000140854
602783	gene	6687	SPG7	ENSG00000197912
602821	gene	3798	KIF5A	ENSG00000155980
602919	gene	1796	DOK1	ENSG00000115325
602931	gene	4091	SMAD6	ENSG00000137834
602933	gene	7205	TRIP6	ENSG00000087077
602937	gene	10370	CITED2	ENSG00000164442
602956	gene	2189	FANCG	ENSG00000221829
602959	gene	1917	EEF1A2	ENSG00000101210
602995	gene	7335	UBE2V1	ENSG00000244687
603065	gene	8856	NR1I2	ENSG00000144852
603073	gene	7546	ZIC2	ENSG00000043355
603101	gene	1361	CPB2	ENSG00000080618
603136	gene	8452	CUL3	ENSG00000036257
603455	gene	8767	RIPK2	ENSG00000104312
603465	gene	8318	CDC45	ENSG00000093009
603470	gene	445	ASS1	ENSG00000130707
603560	gene	6305	SBF1	ENSG00000100241
603652	gene	7225	TRPC6	ENSG00000137672
603714	gene	6496	SIX3	ENSG00000138083
603719	gene	9184	BUB3	ENSG00000154473
603781	gene	9400	RECQL5	ENSG00000108469
603796	gene	9992	KCNE2	ENSG00000159197
603856	gene	7681	MKRN3	ENSG00000179455
603969	gene	10673	TNFSF13B	ENSG00000102524
604041	gene	9526	MPDU1	ENSG00000129255
604063	gene	8516	ITGA8	ENSG00000077943
604065	gene	8913	CACNA1G	ENSG00000006283
604124	gene	5932	RBBP8	ENSG00000101773
604171	gene	10189	ALYREF	ENSG00000183684
604222	gene	10096	ACTR3	ENSG00000115091
604242	gene	6049	RNF6	ENSG00000127870
604267	gene	1954	MEGF8	ENSG00000105429
604272	gene	9997	SCO2	ENSG00000130489
604281	gene	10926	DBF4	ENSG00000006634
604452	gene	5711	PSMD5	ENSG00000095261
604505	gene	9321	TRIP11	ENSG00000100815
604580	gene	10516	FBLN5	ENSG00000140092
604611	gene	7486	WRN	ENSG00000165392
604735	gene	10600	USP16	ENSG00000156256
604824	gene/phenotype	9365	KL	ENSG00000133116
604843	gene	10599	SLCO1B1	ENSG00000134538
604857	gene	6729	SRP54	ENSG00000100883
604860	gene	10892	MALT1	ENSG00000172175
604927	gene	9150	CTDP1	ENSG00000060069
604943	gene	375611	SLC26A5	ENSG00000170615
604962	gene	50852	TRAT1	ENSG00000163519
604975	gene	6660	SOX5	ENSG00000134532
604982	gene	3257	HPS1	ENSG00000107521
605204	gene	1861	TOR1A	ENSG00000136827
605252	gene	11201	POLI	ENSG00000101751
605277	gene	2909	ARHGAP35	ENSG00000160007
605367	gene	60528	ELAC2	ENSG00000006744
605397	gene	10666	CD226	ENSG00000150637
605437	gene	5583	PRKCH	ENSG00000027075
605490	gene	9361	LONP1	ENSG00000196365
605564	gene	10518	CIB2	ENSG00000136425
605748	gene	53630	BCO1	ENSG00000135697
605880	gene	23522	KAT6B	ENSG00000156650
605914	gene	51330	TNFRSF12A	ENSG00000006327
605926	gene	9463	PICK1	ENSG00000100151
606033	gene	5440	POLR2K	ENSG00000147669
606247	gene	10617	STAMBP	ENSG00000124356
606409	gene	83737	ITCH	ENSG00000078747
606478	gene	25913	POT1	ENSG00000128513
606540	gene	4645	MYO5B	ENSG00000167306
606543	gene	9734	HDAC9	ENSG00000048052
606588	gene	29947	DNMT3L	ENSG00000142182
606754	gene	25939	SAMHD1	ENSG00000101347
606761	gene	23417	MLYCD	ENSG00000103150
606797	gene	6768	ST14	ENSG00000149418
606806	gene	10841	FTCD	ENSG00000160282
606897	gene	1130	LYST	ENSG00000143669
606945	gene	3949	LDLR	ENSG00000130164
606948	gene	51433	ANAPC5	ENSG00000089053
607001	gene	79813	EHMT1	ENSG00000181090
607170	gene	78987	CRELD1	ENSG00000163703
607272	gene	10403	NDC80	ENSG00000080986
607274	gene	9097	USP14	ENSG00000101557
607292	gene	64218	SEMA4A	ENSG00000196189
607343	gene	57167	SALL4	ENSG00000101115
607566	gene	7957	EPM2A	ENSG00000112425
607574	gene	410	ARSA	ENSG00000100299
607664	gene	2799	GNS	ENSG00000135677
607690	gene	51128	SAR1B	ENSG00000152700
607696	gene	124590	USH1G	ENSG00000182040
607697	gene	81846	SBF2	ENSG00000133812
607764	gene	80270	HSD3B7	ENSG00000099377
608041	gene	118429	ANTXR2	ENSG00000163297
608204	gene	81622	UNC93B1	ENSG00000110057
608330	gene	27339	PRPF19	ENSG00000110107
608360	gene	56262	LRRC8A	ENSG00000136802
608413	gene	51366	UBR5	ENSG00000104517
608458	gene	23154	NCDN	ENSG00000020129
608487	gene	85363	TRIM5	ENSG00000132256
608546	gene	9775	EIF4A3	ENSG00000141543
608684	gene	51199	NIN	ENSG00000100503
609010	gene	56922	MCCC1	ENSG00000078070
609058	gene	4594	MUT	ENSG00000146085
609171	gene	148170	CDC42EP5	ENSG00000167617
609196	gene	56246	MRAP	ENSG00000170262
609449	gene	54820	NDE1	ENSG00000072864
609644	gene	57697	FANCM	ENSG00000187790
609681	gene	84189	SLITRK6	ENSG00000184564
609695	gene	3242	HPD	ENSG00000158104
609708	gene/phenotype	4023	LPL	ENSG00000175445
609863	gene	79600	TCTN1	ENSG00000204852
610032	gene	23534	TNPO3	ENSG00000064419
610237	gene	90390	MED30	ENSG00000164758
610350	gene	55180	LINS1	ENSG00000140471
610568	gene	57592	ZNF687	ENSG00000143373
610573	gene	343637	RSPO4	ENSG00000101282
610703	gene	10808	HSPH1	ENSG00000120694
610716	gene	54962	TIPIN	ENSG00000075131
610748	gene	57646	USP28	ENSG00000048028
610844	gene	80208	SPG11	ENSG00000104133
610855	gene	22852	ANKRD26	ENSG00000107890
610928	gene	64321	SOX17	ENSG00000164736
610949	gene	255928	SYT14	ENSG00000143469
611051	gene	152137	CCDC50	ENSG00000152492
611146	gene	55532	SLC30A10	ENSG00000196660
611379	gene	57609	DIP2B	ENSG00000066084
611386	gene	23394	ADNP	ENSG00000101126
611966	gene	83696	TRAPPC9	ENSG00000167632
612048	gene	79188	TMEM43	ENSG00000170876
612384	gene	54797	MED18	ENSG00000130772
612420	gene	84632	AFAP1L2	ENSG00000169129
612424	gene	346007	EYS	ENSG00000188107
612844	gene	26168	SENP3	ENSG00000161956
613915	gene	100128927	ZBTB42	ENSG00000179627
614068	gene	112752	IFT43	ENSG00000119650
614243	gene	26873	OPLAH	ENSG00000178814
614277	gene	55284	UBE2W	ENSG00000104343
614556	gene	57492	ARID1B	ENSG00000049618
614589	gene	9652	TTC37	ENSG00000198677
614738	gene	51660	MPC1	ENSG00000060762
614888	gene	79719	AAGAB	ENSG00000103591
615291	gene	126792	B3GALT6	ENSG00000176022
615302	gene	113179	ADAT3	ENSG00000213638
615507	gene	11188	NISCH	ENSG00000010322
616327	gene	283489	CHAMP1	ENSG00000198824
617824	gene	54014	BRWD1	ENSG00000185658
617922	gene	2993	GYPA	ENSG00000170180
