gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
ACTR3	10096	NM_001277140.1	false	false	9	3.2440e+01	173	2.7744e-01	6.3953e-07	9.8799e-01	5.5090e-06	1.2000e-02	8	3.1569e+01	168	2.5341e-01	6.2449e-07	9.9477e-01	2.0870e-06	5.2280e-03	1.4800e-01	4.5700e-01	NA	NA	4.1948e+00	3.5542e+00	188	3.3649e+02	1722	5.5872e-01	3.1342e-06	4.9500e-01	6.3100e-01	8.0947e+00	2.9562e+00	61	1.5166e+02	765	4.0222e-01	118	1.1249e+02	490	1.0490e+00	9.7543e-07	9.0300e-01	1.2220e+00	-5.1922e-01	-2.8300e-01	[]	NA	NA	NA	NA	NA
ACTR3	10096	NM_005721.5	true	true	9	3.4101e+01	184	2.6392e-01	6.3229e-07	9.9473e-01	1.4853e-06	5.2731e-03	9	3.4101e+01	184	2.6392e-01	6.3229e-07	9.9496e-01	1.3541e-06	5.0414e-03	1.5800e-01	4.6100e-01	NA	NA	4.2984e+00	3.6420e+00	206	3.6977e+02	1886	5.5711e-01	3.3493e-06	4.9600e-01	6.2500e-01	8.5165e+00	3.1102e+00	64	1.5633e+02	790	4.0940e-01	126	1.2286e+02	540	1.0255e+00	1.0507e-06	8.8700e-01	1.1890e+00	-2.8289e-01	-1.5419e-01	[]	NA	NA	NA	NA	NA
ACTR3	ENSG00000115091	ENST00000263238	true	true	9	3.4101e+01	184	2.6392e-01	6.3229e-07	9.9473e-01	1.4853e-06	5.2731e-03	9	3.4101e+01	184	2.6392e-01	6.3229e-07	9.9496e-01	1.3541e-06	5.0414e-03	1.5800e-01	4.6100e-01	2447	1	4.2984e+00	3.6420e+00	206	3.6977e+02	1886	5.5711e-01	3.3493e-06	4.9600e-01	6.2500e-01	8.5165e+00	3.1102e+00	64	1.5633e+02	790	4.0940e-01	126	1.2286e+02	540	1.0255e+00	1.0507e-06	8.8700e-01	1.1890e+00	-2.8289e-01	-1.5419e-01	[]	2	protein_coding	chr2	1254	12
ACTR3	ENSG00000115091	ENST00000415792	false	false	0	2.0527e+00	11	0.0000e+00	2.5176e-08	5.3708e-01	6.0978e-02	4.0194e-01	0	3.4639e-01	3	0.0000e+00	5.3070e-09	3.2505e-01	1.3015e-01	5.4480e-01	0.0000e+00	1.8590e+00	NA	NA	5.8855e-01	4.9867e-01	12	1.0436e+01	45	1.1499e+00	1.9437e-07	7.3300e-01	1.7720e+00	-4.8416e-01	-1.7681e-01	0	6.4622e-01	5	0.0000e+00	4	4.2207e+00	18	9.4772e-01	7.5299e-08	4.5500e-01	1.8060e+00	1.0741e-01	5.8541e-02	[]	2	protein_coding	chr2	102	3
ACTR3	ENSG00000115091	ENST00000443297	false	false	1	5.3112e+00	32	1.8828e-01	7.7311e-08	6.4788e-01	2.6819e-02	3.2531e-01	0	4.2935e+00	26	0.0000e+00	5.9835e-08	7.9915e-01	1.3988e-02	1.8687e-01	0.0000e+00	6.9600e-01	NA	NA	2.0721e+00	1.7556e+00	29	5.4624e+01	299	5.3090e-01	5.4719e-07	3.9400e-01	7.2400e-01	3.4670e+00	1.2661e+00	5	2.0536e+01	120	2.4348e-01	16	1.5574e+01	70	1.0274e+00	1.2668e-07	6.9400e-01	1.5540e+00	-1.0797e-01	-5.8846e-02	[]	2	protein_coding	chr2	252	3
ACTR3	ENSG00000115091	ENST00000446821	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	1.2841e+01	59	1.0902e+00	2.4487e-07	7.1800e-01	1.6750e+00	-3.2332e-01	-1.1807e-01	1	2.2451e+00	14	4.4541e-01	4	5.0600e+00	20	7.9051e-01	9.1686e-08	3.8500e-01	1.6740e+00	4.7123e-01	2.5684e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr2	123	3
ACTR3	ENSG00000115091	ENST00000535589	false	false	9	3.2440e+01	173	2.7744e-01	6.3953e-07	9.8799e-01	5.5090e-06	1.2000e-02	8	3.1569e+01	168	2.5341e-01	6.2449e-07	9.9477e-01	2.0870e-06	5.2280e-03	1.4800e-01	4.5700e-01	NA	NA	4.1948e+00	3.5542e+00	188	3.3649e+02	1722	5.5872e-01	3.1342e-06	4.9500e-01	6.3100e-01	8.0947e+00	2.9562e+00	61	1.5166e+02	765	4.0222e-01	118	1.1249e+02	490	1.0490e+00	9.7543e-07	9.0300e-01	1.2220e+00	-5.1922e-01	-2.8300e-01	[]	2	protein_coding	chr2	1101	10
ADAM10	102	NM_001110.4	true	true	15	8.3792e+01	453	1.7901e-01	1.2056e-06	1.0000e+00	1.4616e-19	1.4211e-10	15	8.3792e+01	453	1.7901e-01	1.2056e-06	1.0000e+00	1.3321e-19	1.3583e-10	1.1900e-01	2.7600e-01	NA	NA	7.5152e+00	6.3675e+00	595	9.2088e+02	4747	6.4612e-01	5.3406e-06	6.0300e-01	6.9100e-01	1.0739e+01	3.9218e+00	83	2.6277e+02	1389	3.1586e-01	303	3.0551e+02	1300	9.9178e-01	1.7264e-06	9.0200e-01	1.0910e+00	1.4364e-01	7.8292e-02	[]	NA	NA	NA	NA	NA
ADAM10	102	NM_001320570.2	false	false	15	8.1675e+01	442	1.8365e-01	1.1872e-06	1.0000e+00	7.8316e-19	4.0865e-10	15	8.1675e+01	442	1.8365e-01	1.1872e-06	1.0000e+00	7.1377e-19	3.9060e-10	1.2200e-01	2.8300e-01	NA	NA	7.3777e+00	6.2510e+00	566	8.8512e+02	4583	6.3946e-01	5.0236e-06	5.9600e-01	6.8500e-01	1.0726e+01	3.9172e+00	121	3.5447e+02	1849	3.4136e-01	293	2.9369e+02	1254	9.9764e-01	1.4832e-06	9.0600e-01	1.0990e+00	4.0445e-02	2.2044e-02	[]	NA	NA	NA	NA	NA
ADAM10	102	XM_024449818.1	false	false	13	7.7612e+01	413	1.6750e-01	1.1035e-06	1.0000e+00	8.4205e-19	2.6691e-10	13	7.4098e+01	397	1.7544e-01	1.0400e-06	1.0000e+00	1.2445e-17	1.4727e-09	1.1300e-01	2.7900e-01	NA	NA	7.0978e+00	6.0139e+00	503	8.3507e+02	4309	6.0234e-01	2.4560e-06	5.5900e-01	6.4800e-01	1.1491e+01	4.1966e+00	NA	NA	NA	NA	265	2.7277e+02	1180	9.7152e-01	1.6733e-06	8.7800e-01	1.0760e+00	4.7035e-01	2.5636e-01	[]	NA	NA	NA	NA	NA
ADAM10	ENSG00000137845	ENST00000260408	true	true	15	8.3792e+01	453	1.7901e-01	1.2056e-06	1.0000e+00	1.4616e-19	1.4211e-10	15	8.3792e+01	453	1.7901e-01	1.2056e-06	1.0000e+00	1.3321e-19	1.3583e-10	1.1900e-01	2.7600e-01	857	0	7.5152e+00	6.3675e+00	595	9.2088e+02	4747	6.4612e-01	5.3406e-06	6.0300e-01	6.9100e-01	1.0739e+01	3.9218e+00	83	2.6277e+02	1389	3.1586e-01	303	3.0551e+02	1300	9.9178e-01	1.7264e-06	9.0200e-01	1.0910e+00	1.4364e-01	7.8292e-02	[]	2	protein_coding	chr15	2244	16
ADAM10	ENSG00000137845	ENST00000396136	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	6.8658e+01	350	7.7194e-01	9.6315e-07	6.1800e-01	9.7000e-01	1.8897e+00	6.9011e-01	17	2.8604e+01	158	5.9433e-01	19	2.2441e+01	99	8.4665e-01	1.7822e-07	5.9000e-01	1.2420e+00	7.2645e-01	3.9595e-01	["no_exp_lof"]	1	nonsense_mediated_decay	chr15	173	2
ADAM10	ENSG00000137845	ENST00000402627	false	false	6	1.1588e+01	63	5.1777e-01	2.5645e-07	8.4323e-02	6.3287e-02	8.5239e-01	6	1.1588e+01	63	5.1777e-01	2.5645e-07	8.8136e-02	6.0288e-02	8.5158e-01	2.8300e-01	1.0220e+00	NA	NA	1.6416e+00	1.3909e+00	78	7.7890e+01	400	1.0014e+00	1.0429e-06	8.3300e-01	1.2090e+00	-1.2432e-02	-4.5401e-03	10	3.1255e+01	149	3.1995e-01	36	2.7356e+01	127	1.3160e+00	3.9717e-07	1.0070e+00	1.7270e+00	-1.6527e+00	-9.0079e-01	[]	2	protein_coding	chr15	213	4
ADAM10	ENSG00000137845	ENST00000439637	false	false	3	1.4275e+01	82	2.1016e-01	3.1516e-07	9.3680e-01	7.4070e-04	6.2459e-02	3	1.4275e+01	82	2.1016e-01	3.1516e-07	9.3945e-01	6.7698e-04	5.9869e-02	9.5000e-02	5.4300e-01	NA	NA	2.9842e+00	2.5284e+00	140	1.4198e+02	734	9.8607e-01	2.1647e-06	8.5900e-01	1.1350e+00	1.6597e-01	6.0613e-02	47	6.3308e+01	313	7.4241e-01	56	5.2883e+01	204	1.0589e+00	6.5418e-07	8.5300e-01	1.3230e+00	-4.2860e-01	-2.3361e-01	[]	2	protein_coding	chr15	377	4
ADAM10	ENSG00000137845	ENST00000461408	false	false	0	6.2667e-01	6	0.0000e+00	9.2177e-09	3.4766e-01	1.2229e-01	5.3005e-01	0	6.2667e-01	6	0.0000e+00	9.2177e-09	3.5999e-01	1.1541e-01	5.2460e-01	0.0000e+00	1.8110e+00	NA	NA	7.9162e-01	6.7073e-01	31	1.3433e+01	69	2.3077e+00	2.0750e-07	1.5020e+00	1.9860e+00	-4.7930e+00	-1.7504e+00	4	1.7333e+00	6	2.3077e+00	15	7.0128e+00	26	2.1389e+00	1.0703e-07	1.2380e+00	1.9750e+00	-3.0161e+00	-1.6439e+00	[]	2	protein_coding	chr15	177	2
ADAM10	ENSG00000137845	ENST00000558004	false	false	1	7.5233e+00	49	1.3292e-01	8.2937e-08	8.5204e-01	6.1032e-03	1.4186e-01	1	7.5233e+00	49	1.3292e-01	8.2937e-08	8.5788e-01	5.6005e-03	1.3652e-01	4.6000e-02	6.3100e-01	NA	NA	2.3783e+00	2.0151e+00	87	7.6944e+01	394	1.1307e+00	1.0592e-06	9.5000e-01	1.3510e+00	-1.1464e+00	-4.1867e-01	27	4.0219e+01	202	6.7133e-01	35	2.9942e+01	109	1.1689e+00	2.6032e-07	8.9200e-01	1.5490e+00	-9.2436e-01	-5.0382e-01	[]	1	protein_coding	chr15	347	4
ADAM10	ENSG00000137845	ENST00000559053	false	false	5	1.5041e+01	91	3.3242e-01	2.7791e-07	6.4972e-01	6.5288e-03	3.4376e-01	5	1.5041e+01	91	3.3242e-01	2.7791e-07	6.6012e-01	6.0456e-03	3.3384e-01	1.7300e-01	6.9900e-01	NA	NA	2.5891e+00	2.1937e+00	97	1.7360e+02	920	5.5875e-01	1.0879e-06	4.7300e-01	6.6100e-01	5.8138e+00	2.1232e+00	19	8.1973e+01	417	2.3178e-01	67	6.0451e+01	268	1.1083e+00	5.7370e-07	9.0900e-01	1.3580e+00	-8.4225e-01	-4.5906e-01	[]	2	protein_coding	chr15	445	4
ADAM10	ENSG00000137845	ENST00000561288	false	false	2	2.9944e+00	22	6.6792e-01	4.4303e-08	1.2992e-01	1.6314e-01	7.0695e-01	2	2.9944e+00	22	6.6792e-01	4.4303e-08	1.3614e-01	1.5580e-01	7.0807e-01	2.6500e-01	1.7340e+00	NA	NA	5.7464e-01	4.8689e-01	64	3.6664e+01	193	1.7456e+00	5.2566e-07	1.4110e+00	1.9600e+00	-4.5146e+00	-1.6487e+00	4	1.7333e+00	6	2.3077e+00	21	1.4687e+01	65	1.4298e+00	1.8815e-07	1.0050e+00	1.8900e+00	-1.6472e+00	-8.9780e-01	[]	2	protein_coding	chr15	114	2
ADAT3	113179	NM_001329533.2	false	false	27	1.3284e+01	54	2.0326e+00	1.3848e-07	2.1758e-14	9.8540e-01	1.4600e-02	7	4.7445e+00	17	1.4754e+00	6.5527e-08	5.6981e-04	4.2830e-01	5.7113e-01	7.8400e-01	1.9290e+00	NA	NA	-1.0355e+00	-8.7738e-01	713	4.3540e+02	1659	1.6376e+00	4.9821e-06	1.5390e+00	1.7420e+00	-1.3304e+01	-4.8584e+00	190	1.1409e+02	476	1.6653e+00	346	2.1037e+02	608	1.6447e+00	1.6991e-06	1.5060e+00	1.7980e+00	-9.3508e+00	-5.0966e+00	["outlier_mis","outlier_syn"]	NA	NA	NA	NA	NA
ADAT3	113179	NM_138422.4	true	true	27	1.3452e+01	53	2.0072e+00	1.3756e-07	2.4839e-14	9.8467e-01	1.5327e-02	7	4.7445e+00	17	1.4754e+00	6.5527e-08	5.6981e-04	4.2830e-01	5.7113e-01	7.8400e-01	1.9290e+00	NA	NA	-1.0355e+00	-8.7738e-01	735	4.5072e+02	1724	1.6307e+00	5.2239e-06	1.5340e+00	1.7330e+00	-1.3390e+01	-4.8900e+00	173	1.0126e+02	429	1.7084e+00	358	2.1700e+02	630	1.6498e+00	1.7063e-06	1.5120e+00	1.8000e+00	-9.5715e+00	-5.2169e+00	["outlier_mis","outlier_syn"]	NA	NA	NA	NA	NA
ADAT3	ENSG00000213638	ENST00000329478	true	true	27	1.3452e+01	53	2.0072e+00	1.3756e-07	2.4839e-14	9.8467e-01	1.5327e-02	7	4.7445e+00	17	1.4754e+00	6.5527e-08	5.6981e-04	4.2830e-01	5.7113e-01	7.8400e-01	1.9290e+00	17728	9	-1.0355e+00	-8.7738e-01	735	4.5072e+02	1724	1.6307e+00	5.2239e-06	1.5340e+00	1.7330e+00	-1.3390e+01	-4.8900e+00	173	1.0126e+02	429	1.7084e+00	358	2.1700e+02	630	1.6498e+00	1.7063e-06	1.5120e+00	1.8000e+00	-9.5715e+00	-5.2169e+00	["outlier_mis","outlier_syn"]	2	protein_coding	chr19	1101	1
ADAT3	ENSG00000213638	ENST00000454697	false	false	8	2.8393e+00	12	2.8176e+00	5.1017e-08	3.6623e-05	6.6105e-01	3.3892e-01	5	1.6091e+00	8	3.1073e+00	2.7716e-08	1.2501e-03	4.8383e-01	5.1492e-01	9.6900e-01	1.9700e+00	NA	NA	-2.6731e+00	-2.2649e+00	114	6.5386e+01	285	1.7435e+00	1.1126e-06	1.4910e+00	1.9520e+00	-6.0119e+00	-2.1955e+00	11	4.8104e+00	26	2.2867e+00	53	3.3743e+01	94	1.5707e+00	4.6573e-07	1.2550e+00	1.9020e+00	-3.3152e+00	-1.8069e+00	[]	2	protein_coding	chr19	208	1
ADNP	23394	NM_001282531.3	true	true	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1118	1.3809e+03	7229	8.0964e-01	5.9763e-06	7.7000e-01	8.5100e-01	7.0736e+00	2.5832e+00	261	5.0967e+02	2757	5.1210e-01	551	4.9259e+02	2047	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6317e+00	-1.4344e+00	[]	NA	NA	NA	NA	NA
ADNP	23394	NM_001282532.2	false	false	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1118	1.3809e+03	7229	8.0964e-01	5.9763e-06	7.7000e-01	8.5100e-01	7.0736e+00	2.5832e+00	261	5.0967e+02	2757	5.1210e-01	551	4.9259e+02	2047	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6317e+00	-1.4344e+00	[]	NA	NA	NA	NA	NA
ADNP	23394	NM_001347511.2	false	false	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1118	1.3809e+03	7229	8.0964e-01	5.9763e-06	7.7000e-01	8.5100e-01	7.0736e+00	2.5832e+00	261	5.0967e+02	2757	5.1210e-01	551	4.9259e+02	2047	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6317e+00	-1.4344e+00	[]	NA	NA	NA	NA	NA
ADNP	23394	NM_015339.5	false	false	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1118	1.3809e+03	7229	8.0964e-01	5.9763e-06	7.7000e-01	8.5100e-01	7.0736e+00	2.5832e+00	261	5.0967e+02	2757	5.1210e-01	551	4.9259e+02	2047	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6317e+00	-1.4344e+00	[]	NA	NA	NA	NA	NA
ADNP	23394	NM_181442.4	false	false	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1118	1.3809e+03	7229	8.0964e-01	5.9763e-06	7.7000e-01	8.5100e-01	7.0736e+00	2.5832e+00	261	5.0967e+02	2757	5.1210e-01	551	4.9259e+02	2047	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6317e+00	-1.4344e+00	[]	NA	NA	NA	NA	NA
ADNP	23394	XM_011528747.2	false	false	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1118	1.3809e+03	7229	8.0964e-01	5.9763e-06	7.7000e-01	8.5100e-01	7.0736e+00	2.5832e+00	261	5.0967e+02	2757	5.1210e-01	551	4.9259e+02	2047	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6317e+00	-1.4344e+00	[]	NA	NA	NA	NA	NA
ADNP	23394	XM_011528748.2	false	false	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1121	1.3844e+03	7244	8.0971e-01	2.8809e-06	7.7000e-01	8.5100e-01	7.0804e+00	2.5857e+00	NA	NA	NA	NA	551	4.9303e+02	2050	1.1176e+00	2.0015e-06	1.0410e+00	1.1990e+00	-2.6107e+00	-1.4229e+00	[]	NA	NA	NA	NA	NA
ADNP	23394	XM_017027758.1	false	false	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	6.4307e-28	5.8579e-17	4	8.6209e+01	477	4.6399e-02	1.0002e-06	1.0000e+00	5.8610e-28	5.5992e-17	2.2000e-02	1.0600e-01	NA	NA	8.8541e+00	7.5019e+00	1118	1.3809e+03	7229	8.0964e-01	5.9763e-06	7.7000e-01	8.5100e-01	7.0736e+00	2.5832e+00	261	5.0967e+02	2757	5.1210e-01	551	4.9259e+02	2047	1.1186e+00	2.0015e-06	1.0420e+00	1.2000e+00	-2.6317e+00	-1.4344e+00	[]	NA	NA	NA	NA	NA
