Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID	HGNC symbol	HGNC ID
19	18279760	18281622	ENSG00000130522	JUND	6206
2	174799363	175005369	ENSG00000128656	CHN1	1943
2	113889960	113962596	ENSG00000115091	ACTR3	170
2	44941898	44946077	ENSG00000138083	SIX3	10889
2	233307816	233347055	ENSG00000130561	SAG	10521
2	202206180	202238608	ENSG00000116030	SUMO1	12502
2	73828916	73873659	ENSG00000124356	STAMBP	16950
2	208121607	208124501	ENSG00000118231	CRYGD	2411
2	74549026	74557554	ENSG00000115325	DOK1	2990
2	224470150	224585397	ENSG00000036257	CUL3	2553
2	176104216	176109754	ENSG00000128713	HOXD11	5134
2	218419092	218453295	ENSG00000127831	VIL1	12690
20	58839718	58911192	ENSG00000087460	GNAS	4392
20	63488012	63499322	ENSG00000101210	EEF1A2	3192
20	57168748	57266629	ENSG00000101144	BMP7	1074
20	49503874	49568146	ENSG00000124212	PTGIS	9603
20	50888916	50931421	ENSG00000101126	ADNP	15766
20	36889773	36951901	ENSG00000101347	SAMHD1	15925
20	59300427	59325992	ENSG00000124205	EDN3	3178
20	958452	1002264	ENSG00000101282	RSPO4	16175
20	50081124	50115959	ENSG00000244687	UBE2V1	12494
20	51782331	51802520	ENSG00000101115	SALL4	15924
20	34363235	34511393	ENSG00000078747	ITCH	13890
21	33402896	33479348	ENSG00000159128	IFNGR2	5440
21	33642400	33899861	ENSG00000205726	ITSN1	6183
21	39184176	39321559	ENSG00000185658	BRWD1	12760
21	44246339	44262216	ENSG00000142182	DNMT3L	2980
21	44300051	44327376	ENSG00000141959	PFKL	8876
21	32291813	32314784	ENSG00000170262	MRAP	1304
21	46136262	46155567	ENSG00000160282	FTCD	3974
21	46188141	46228824	ENSG00000160285	LSS	6708
21	29024629	29054488	ENSG00000156256	USP16	12614
21	42879644	42913304	ENSG00000160194	NDUFV3	7719
21	34364024	34371389	ENSG00000159197	KCNE2	6242
22	50622754	50628173	ENSG00000100299	ARSA	713
22	50523568	50525606	ENSG00000130489	SCO2	10604
22	21207973	21227637	ENSG00000133475	GGT2	4251
22	50445000	50475024	ENSG00000100241	SBF1	10542
22	38056311	38075701	ENSG00000100151	PICK1	9394
22	22895375	22895834	ENSG00000211675	IGLC1	5855
22	22906342	22906803	ENSG00000211679	IGLC3	5857
22	19479459	19520612	ENSG00000093009	CDC45	1739
22	23179704	23318037	ENSG00000186716	BCR	1014
22	19756703	19783593	ENSG00000184058	TBX1	11592
22	26599278	26618088	ENSG00000100122	CRYBB1	2397
3	183015218	183116075	ENSG00000078070	MCCC1	6936
3	184346185	184361651	ENSG00000114859	CLCN2	2020
3	9933822	9945413	ENSG00000163703	CRELD1	14630
3	119780484	119818485	ENSG00000144852	NR1I2	7968
3	133745956	133796640	ENSG00000091513	TF	11740
3	49468703	49535618	ENSG00000173402	DAG1	2666
3	196214222	196287957	ENSG00000161217	PCYT1A	8754
3	14124940	14143679	ENSG00000170876	TMEM43	28472
3	108822698	108855005	ENSG00000163519	TRAT1	30698
3	52455118	52493071	ENSG00000010322	NISCH	18006
3	191329077	191398670	ENSG00000152492	CCDC50	18111
4	79901149	80125454	ENSG00000163297	ANTXR2	21732
4	147480917	147544954	ENSG00000151617	EDNRA	3179
4	144109303	144140786	ENSG00000170180	GYPA	4702
4	74365143	74388751	ENSG00000124882	EREG	3443
4	184387713	184474580	ENSG00000168310	IRF2	6117
4	9781680	9784009	ENSG00000169676	DRD5	3026
4	48135783	48269864	ENSG00000135605	TEC	11719
4	109740694	109802179	ENSG00000205403	CFI	5394
4	54229097	54298247	ENSG00000134853	PDGFRA	8803
4	52020706	52038482	ENSG00000163069	SGCB	10806
4	39287456	39366375	ENSG00000035928	RFC1	9969
5	156850538	156852528	ENSG00000231989	PPP1R2B	16318
5	95463895	95555007	ENSG00000198677	TTC37	23639
5	162000057	162162977	ENSG00000113327	GABRG2	4087
5	40909252	40982939	ENSG00000112936	C7	1346
5	1392790	1445430	ENSG00000142319	SLC6A3	11049
5	16473038	16617058	ENSG00000154153	RETREG1	25964
5	134601144	134649271	ENSG00000152700	SAR1B	10535
5	36151989	36184319	ENSG00000145604	SKP2	10901
5	140631728	140633701	ENSG00000170458	CD14	1628
5	95751319	95823005	ENSG00000173221	GLRX	4330
5	174724533	174730893	ENSG00000120149	MSX2	7392
6	139371807	139374620	ENSG00000164442	CITED2	1987
6	137867188	137883312	ENSG00000118503	TNFAIP3	11896
6	156777374	157210779	ENSG00000049618	ARID1B	18040
6	49430360	49463191	ENSG00000146085	MUT	7526
6	166364919	166383013	ENSG00000060762	MPC1	21606
6	7726797	7881422	ENSG00000153162	BMP6	1073
6	18128311	18155074	ENSG00000137364	TPMT	12014
6	128883141	129516569	ENSG00000196569	LAMA2	6482
6	145382535	145736023	ENSG00000112425	EPM2A	3413
6	75749192	75919537	ENSG00000196586	MYO6	7605
6	63719980	65707225	ENSG00000188107	EYS	21555
7	56011051	56051604	ENSG00000146733	PSPH	9577
7	100867138	100873454	ENSG00000087077	TRIP6	12311
7	113876777	114075920	ENSG00000154415	PPP1R3A	9291
7	128954180	129055173	ENSG00000064419	TNPO3	17103
7	81946444	82443798	ENSG00000153956	CACNA2D1	1399
7	45912245	45921874	ENSG00000146674	IGFBP3	5472
7	103352730	103446177	ENSG00000170615	SLC26A5	9359
7	87876216	87909541	ENSG00000006634	DBF4	17364
7	74027789	74069907	ENSG00000049540	ELN	3327
7	18086949	19002416	ENSG00000048052	HDAC9	14065
7	124822386	124929983	ENSG00000128513	POT1	17284
8	31033801	31173769	ENSG00000165392	WRN	12791
8	117520713	117540262	ENSG00000164758	MED30	23032
8	100150584	100154002	ENSG00000147669	POLR2K	9198
8	73780097	73878910	ENSG00000104343	UBE2W	25616
8	144051266	144063965	ENSG00000178814	OPLAH	8149
8	139730343	140458579	ENSG00000167632	TRAPPC9	30832
8	19901717	19967258	ENSG00000175445	LPL	6677
8	102253012	102412841	ENSG00000104517	UBR5	16806
8	42416475	42541926	ENSG00000168575	SLC20A2	10947
8	89757747	89791063	ENSG00000104312	RIPK2	10020
8	54457935	54460888	ENSG00000164736	SOX17	18122
9	121207794	121332843	ENSG00000148180	GSN	4620
9	21367424	21368962	ENSG00000233816	IFNA13	5419
9	97633626	97673748	ENSG00000136937	NCBP1	7658
9	131576770	131740074	ENSG00000107263	RAPGEF1	4568
9	35073835	35080016	ENSG00000221829	FANCG	3588
9	128882112	128918039	ENSG00000136802	LRRC8A	19027
9	120815496	120842984	ENSG00000095261	PSMD5	9563
9	130444929	130501274	ENSG00000130707	ASS1	758
9	129812944	129824134	ENSG00000136827	TOR1A	3098
9	137618963	137870016	ENSG00000181090	EHMT1	24650
9	33104082	33167356	ENSG00000086062	B4GALT1	924
MT	577	647	ENSG00000210049	MT-TF	7481
MT	4329	4400	ENSG00000210107	MT-TQ	7495
MT	4402	4469	ENSG00000210112	MT-TM	7492
MT	5904	7445	ENSG00000198804	MT-CO1	7419
MT	7586	8269	ENSG00000198712	MT-CO2	7421
MT	8527	9207	ENSG00000198899	MT-ATP6	7414
MT	9207	9990	ENSG00000198938	MT-CO3	7422
MT	12337	14148	ENSG00000198786	MT-ND5	7461
MT	14149	14673	ENSG00000198695	MT-ND6	7462
MT	15888	15953	ENSG00000210195	MT-TT	7499
MT	15956	16023	ENSG00000210196	MT-TP	7494
X	48897912	48903143	ENSG00000102103	PQBP1	9330
X	154458281	154477779	ENSG00000130827	PLXNA3	9101
X	120625793	120630150	ENSG00000171155	C1GALT1C1	24338
X	48521158	48528716	ENSG00000147155	EBP	3133
X	100644166	100675788	ENSG00000102359	SRPX2	30668
X	71107404	71112108	ENSG00000147168	IL2RG	6010
X	37780011	37813461	ENSG00000165168	CYBB	2578
X	77910739	78129296	ENSG00000102144	PGK1	8896
X	48922028	48958386	ENSG00000068308	OTUD5	25402
X	47561100	47571920	ENSG00000078061	ARAF	646
X	116170722	116174972	ENSG00000180772	AGTR2	338
Y	18992467	18992709	ENSG00000185275	CD24P4	1649
Y	12701231	12860839	ENSG00000114374	USP9Y	12633
Y	2786855	2787699	ENSG00000184895	SRY	11311
