# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-04-24
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr2	208121606	208124588	2q33-q35	2q33.3	123690	CRYGD, CRYG4, CTRCT4, CACA, CCA3, PCC	Crystallin, gamma D	CRYGD	1421	ENSG00000118231		Cataract 4, multiple types, 115700 (3), Autosomal dominant	Crygd (MGI:88524)
chr2	218419114	218449524	2q35-q36	2q35	193040	VIL1	Villin-1	VIL1	7429	ENSG00000127831		Cholestasis, progressive canalicular (1)	Vil1 (MGI:98930)
chr2	224470149	224585396	2q36	2q36.2	603136	CUL3, PHA2E	Cullin 3	CUL3	8452	ENSG00000036257		Pseudohypoaldosteronism, type IIE, 614496 (3), Autosomal dominant	Cul3 (MGI:1347360)
chr2	233307662	233347065	2q37.1	2q37.1	181031	SAG, RP47	S-antigen; retina and pineal gland (arrestin)	SAG	6295	ENSG00000130561		Oguchi disease-1, 258100 (3), Autosomal recessive; Retinitis pigmentosa 47, 613758 (3)	Sag (MGI:98227)
chr3	9933787	9945412	3p25.3	3p25.3	607170	CRELD1, AVSD2	Cysteine-rich protein with EGF-like domains 1	CRELD1	78987	ENSG00000163703		Atrioventricular septal defect, partial, with heterotaxy syndrome, 606217 (3), Autosomal dominant; {Atrioventricular septal defect, susceptibility to, 2}, 606217 (3), Autosomal dominant	Creld1 (MGI:2152539)
chr3	14124939	14143679	3p25	3p25.1	612048	TMEM43, ARVD5, ARVC5, EDMD7	Transmembrane protein 43	TMEM43	79188	ENSG00000170876		Arrhythmogenic right ventricular dysplasia 5, 604400 (3), Autosomal dominant; Emery-Dreifuss muscular dystrophy 7, AD, 614302 (3), Autosomal dominant	Tmem43 (MGI:1921372)
chr3	49468702	49535617	3p21	3p21.31	128239	DAG1, DAG, MDDGC9, MDDGA9	Dystrophin-associated glycoprotein-1	DAG1	1605	ENSG00000173402		Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9, 616538 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, 613818 (3), Autosomal recessive	Dag1 (MGI:101864)
chr3	52455507	52493071	3p21.1	3p21.1	615507	NISCH, IRAS, KIAA0975	Nischarin	NISCH	11188	ENSG00000010322
chr3	108822697	108855004	3q13	3q13.13	604962	TRAT1, TRIM	T-cell receptor-associated transmembrane adaptor 1	TRAT1	50852	ENSG00000163519			Trat1 (MGI:1924897)
chr3	119780483	119818484	3q13-q21	3q13.33	603065	NR1I2, PXR, SXR, PARq	Nuclear receptor subfamily 1, group I, member 2	NR1I2	8856	ENSG00000144852			Nr1i2 (MGI:1337040)
chr3	133661985	133779005	3q21	3q22.1	190000	TF, TFQTL1	Transferrin	TF	7018	ENSG00000091513		Atransferrinemia, 209300 (3), Autosomal recessive	Trf (MGI:98821)
chr3	183015217	183099586	3q25-q27	3q27.1	609010	MCCC1, MCCA	3-Methylcrotonyl-CoA carboxylase 1	MCCC1	56922	ENSG00000078070		3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3), Autosomal recessive	Mccc1 (MGI:1919289)
chr3	184346184	184361650	3q26	3q27.1	600570	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT	Chloride channel-2	CLCN2	1181	ENSG00000114859		{Epilepsy, idiopathic generalized, susceptibility to, 11}, 607628 (3), Autosomal dominant; {Epilepsy, juvenile absence, susceptibility to, 2}, 607628 (3), Autosomal dominant; {Epilepsy, juvenile myoclonic, susceptibility to, 8}, 607628 (3), Autosomal dominant; Leukoencephalopathy with ataxia, 615651 (3), Autosomal recessive	Clcn2 (MGI:105061)
chr3	191329081	191398669	3q28	3q28	611051	CCDC50, C3orf6, DFNA44	Coiled-coil domain-containing protein 50	CCDC50	152137	ENSG00000152492	mutation identified in 1 DFNA44 family	?Deafness, autosomal dominant 44, 607453 (3), Autosomal dominant
chr3	196237744	196287751	3q29	3q29	123695	PCYT1A, CTPCT, PCYT1, SMDCRD	Phosphate cytidylyltransferase 1, choline, alpha isoform	PCYT1A	5130	ENSG00000161217		Spondylometaphyseal dysplasia with cone-rod dystrophy, 608940 (3), Autosomal recessive	Pcyt1a (MGI:88557)
chr4	9781633	9784008	4p16.1-p15.3	4p16.1	126453	DRD5, DRD1B, DRD1L2	Dopamine receptor D5	DRD5	1816	ENSG00000169676	pseudogenes on 2p11 and 1q21	{Attention deficit-hyperactivity disorder, susceptibility to}, 143465 (3), Autosomal dominant; {Blepharospasm, primary benign}, 606798 (3), Isolated cases; Dystonia, primary cervical (3)	Drd5 (MGI:94927)
chr4	39287448	39366380	4p14-p13	4p14	102579	RFC1, RECC1	Replication factor C1, 145kD (activator 1, 145kD)	RFC1	5981	ENSG00000035928			Rfc1 (MGI:97891)
chr4	48135782	48269863	4p12	4p12-p11	600583	TEC	tec protein tyrosine kinase	TEC	7006	ENSG00000135605			Tec (MGI:98662)
chr4	52020694	52038318	4q12	4q12	600900	SGCB, LGMD2E	Sarcoglycan, beta (43kD dystrophin-associated glycoprotein)	SGCB	6443	ENSG00000163069		Muscular dystrophy, limb-girdle, type 2E, 604286 (3), Autosomal recessive	Sgcb (MGI:1346523)
chr4	54229088	54298246	4q12	4q12	173490	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	PDGFRA	5156	ENSG00000134853	same 700bp segment as KIT; fused to BCR or FIP1L1	Gastrointestinal stromal tumor, somatic, 606764 (3); Hypereosinophilic syndrome, idiopathic, resistant to imatinib, 607685 (3), Isolated cases, Somatic mutation	Pdgfra (MGI:97530)
chr4	74365142	74388759	4q13.3	4q13.3	602061	EREG	Epiregulin	EREG	2069	ENSG00000124882			Ereg (MGI:107508)
chr4	79901616	80073471	4q21	4q21.21	608041	ANTXR2, CMG2, HFS	Anthrax toxin receptor 2	ANTXR2	118429	ENSG00000163297		Hyaline fibromatosis syndrome, 228600 (3), Autosomal recessive	Antxr2 (MGI:1919164)
chr4	109731220	109802224	4q25	4q25	217030	CFI, FI, AHUS3, ARMD13	Complement factor I	CFI	3426	ENSG00000205403	40kb distal to EGF	Complement factor I deficiency, 610984 (3), Autosomal recessive; {Hemolytic uremic syndrome, atypical, susceptibility to, 3}, 612923 (3), Autosomal dominant; {Macular degeneration, age-related, 13, susceptibility to}, 615439 (3), Autosomal dominant	Cfi (MGI:105937)
chr4	144109302	144140853	4q28.2-q31.1	4q31.21	617922	GYPA, MN, GPA	Glycophorin A	GYPA	2993	ENSG00000170180		[Blood group, MNSs system], 111300 (3); {Malaria, resistance to}, 611162 (3)
chr4	147480916	147544953	4q31.2	4q31.22-q31.23	131243	EDNRA, MFDA	Endothelin receptor type A	EDNRA	1909	ENSG00000151617		Mandibulofacial dysostosis with alopecia, 616367 (3), Autosomal dominant; {Migraine, resistance to}, 157300 (3), Autosomal dominant	Ednra (MGI:105923)
chr4	184382740	184474579	4q35.1	4q35.1	147576	IRF2	Interferon regulatory factor-2	IRF2	3660	ENSG00000168310			Irf2 (MGI:96591)
chr5	1392789	1445427	5p15.3	5p15.33	126455	SLC6A3, DAT1, PKDYS	Solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	SLC6A3	6531	ENSG00000142319		{Nicotine dependence, protection against}, 188890 (3); Parkinsonism-dystonia, infantile, 613135 (3), Autosomal recessive	Slc6a3 (MGI:94862)
chr5	36152042	36184040	5p13	5p13.2	601436	SKP2	S-phase kinase-associated protein 2 (p45)	SKP2	6502	ENSG00000145604			Skp2 (MGI:1351663)
chr5	40909251	40984639	5p13	5p13.1	217070	C7	Complement component-7	C7	730	ENSG00000112936		C7 deficiency, 610102 (3)	C7 (MGI:88235)
chr5	95463894	95555004	5q15	5q15	614589	TTC37, KIAA0372	Tetratricopeptide repeat domain 37	TTC37	9652	ENSG00000198677		Trichohepatoenteric syndrome 1, 222470 (3), Autosomal recessive	Ttc37 (MGI:2679923)
chr5	95813848	95822872	5q14	5q15	600443	GLRX, GRX	Glutaredoxin (thioltransferase)	GLRX	2745	ENSG00000173221			Glrx (MGI:2135625)
chr5	134601148	134632842	5q31.1	5q31.1	607690	SAR1B, CMRD, SARA2, ANDD	Sar1a, S. cerevisiae, homolog 2	SAR1B	51128	ENSG00000152700		Chylomicron retention disease, 246700 (3), Autosomal recessive	Sar1b (MGI:1913647)
chr5	140631727	140633700	5q31.1	5q31.3	158120	CD14	CD14 antigen	CD14	929	ENSG00000170458			Cd14 (MGI:88318)
chr5	162067641	162155538	5q34	5q34	137164	GABRG2, GEFSP3, CAE2, ECA2	Gamma-aminobutyric acid (GABA) A receptor, gamma-2	GABRG2	2566	ENSG00000113327	in alpha/beta/gamma cluster	{Epilepsy, childhood absence, susceptibility to, 2}, 607681 (3), Autosomal dominant; Epilepsy, generalized, with febrile seizures plus, type 3, 611277 (3), Autosomal dominant; Febrile seizures, familial, 8, 611277 (3), Autosomal dominant	Gabrg2 (MGI:95623)
chr5	174724495	174730898	5q34-q35	5q35.2	123101	MSX2, CRS2, HOX8	msh, Drosophila, homeo box homolog of, 2	MSX2	4488	ENSG00000120149		Craniosynostosis 2, 604757 (3), Autosomal dominant; Parietal foramina 1, 168500 (3), Autosomal dominant; Parietal foramina with cleidocranial dysplasia, 168550 (3), Autosomal dominant	Msx2 (MGI:97169)
chr6	7726098	7881727	6p24-p23	6p24.3	112266	BMP6	Bone morphogenetic protein-6	BMP6	654	ENSG00000153162			Bmp6 (MGI:88182)
chr6	18128310	18155168	6p22.3	6p22.3	187680	TPMT, TPMTD	Thiopurine S-methyltransferase	TPMT	7172	ENSG00000137364		{Thiopurines, poor metabolism of, 1}, 610460 (3), Autosomal recessive	Tpmt (MGI:98812)
chr6	49430359	49463327	6p21	6p12.3	609058	MUT, MCM	Methylmalonyl Coenzyme A mutase	MUT	4594	ENSG00000146085		Methylmalonic aciduria, mut(0) type, 251000 (3), Autosomal recessive	Mut (MGI:97239)
chr6	63719979	65707224	6q12	6q12	612424	EYS, RP25	Eyes shut, Drosophila, homolog of	EYS	346007	ENSG00000188107		Retinitis pigmentosa 25, 602772 (3), Autosomal recessive
chr6	75749175	75919536	6q13	6q14.1	600970	MYO6, DFNA22, DFNB37	Myosin VI	MYO6	4646	ENSG00000196586		Deafness, autosomal dominant 22, 606346 (3), Autosomal dominant; Deafness, autosomal dominant 22, with hypertrophic cardiomyopathy, 606346 (3), Autosomal dominant; Deafness, autosomal recessive 37, 607821 (3), Autosomal recessive	Myo6 (MGI:104785)
chr6	128883140	129516565	6q22-q23	6q22.33	156225	LAMA2, LAMM	Laminin, alpha-2 (merosin)	LAMA2	3908	ENSG00000196569		Muscular dystrophy, congenital merosin-deficient, 607855 (3), Autosomal recessive; Muscular dystrophy, congenital, due to partial LAMA2 deficiency, 607855 (3), Autosomal recessive	Lama2 (MGI:99912)
chr6	137866316	137883313	6q23	6q23.3	191163	TNFAIP3, A20, OTUD7C, AISBL	Tumor necrosis factor-alpha-induced protein 3	TNFAIP3	7128	ENSG00000118503		Autoinflammatory syndrome, familial, Behcet-like, 616744 (3), Autosomal dominant	Tnfaip3 (MGI:1196377)
chr6	139372254	139374649	6q23.3	6q24.1	602937	CITED2, MRG1, P35SRJ, VSD2, ASD8	CBP/p300-interacting transactivator, with glu/asp-rich C-terminal domain, 2	CITED2	10370	ENSG00000164442	?pseudogene on 1q22	Atrial septal defect 8, 614433 (3), Autosomal dominant; Ventricular septal defect 2, 614431 (3), Autosomal dominant	Cited2 (MGI:1306784)
chr6	145382539	145736020	6q24	6q24.3	607566	EPM2A, MELF, EPM2	Laforin	EPM2A	7957	ENSG00000112425		Epilepsy, progressive myoclonic 2A (Lafora), 254780 (3), Autosomal recessive	Epm2a (MGI:1341085)
chr6	156777846	157210778	6q25.1	6q25.3	614556	ARID1B, BAF250B, KIAA1235, MRD12, CSS1	AT-rich interaction domain-containing protein 1B	ARID1B	57492	ENSG00000049618		Coffin-Siris syndrome 1, 135900 (3), Autosomal dominant	Arid1b (MGI:1926129)
chr6	166364918	166383012	6q27	6q27	614738	BRP44L, MPC1, MPYCD	Brain protein 44-like	MPC1	51660	ENSG00000060762		Mitochondrial pyruvate carrier deficiency, 614741 (3), Autosomal recessive	Mpc1 (MGI:1915240)
chr7	18086941	19002415	7p21-p15	7p21.1	606543	HDAC9, MITR, HDAC7B, KIAA0744	Histone deacetylase 9	HDAC9	9734	ENSG00000048052			Hdac9 (MGI:1931221)
chr7	45912244	45921271	7p14-p12	7p12.3	146732	IGFBP3	Insulin-like growth factor-binding protein-3	IGFBP3	3486	ENSG00000146674	tail-to-tail 20kb from IGFBP1		Igfbp3 (MGI:96438)
chr7	56010486	56051603	7p11.2	7p11.2	172480	PSPH, PSP, PSPHD	Phosphoserine phosphatase	PSPH	5723	ENSG00000146733		Phosphoserine phosphatase deficiency, 614023 (3), Autosomal recessive	Psph (MGI:97788)
chr7	74027771	74069906	7q11.2	7q11.23	130160	ELN, SVAS, ADCL1	Elastin	ELN	2006	ENSG00000049540		Cutis laxa, autosomal dominant, 123700 (3), Autosomal dominant; Supravalvar aortic stenosis, 185500 (3), Autosomal dominant
chr7	81946443	82443805	7q21-q22	7q21.11	114204	CACNA2, CACNL2A	Calcium channel, voltage-dependent, L type, alpha 2/delta subunit	CACNA2D1	781	ENSG00000153956			Cacna2d1 (MGI:88295)
chr7	87876228	87909540	7q21.3	7q21.12	604281	ASK, DBF4	Activator of S-phase kinase	DBF4	10926	ENSG00000006634			Dbf4 (MGI:1351328)
chr7	100867327	100873453	7q22	7q22.1	602933	TRIP6, OIP1	Thyroid hormone receptor interactor-6	TRIP6	7205	ENSG00000087077			Trip6 (MGI:1343458)
chr7	103352597	103446176	7q22.1	7q22.1	604943	SLC26A5, PRES, DFNB61	Solute carrier family 26, member 5	SLC26A5	375611	ENSG00000170615	mutation identified in 1 DFNB61 family	?Deafness, autosomal recessive 61, 613865 (3), Autosomal recessive	Slc26a5 (MGI:1933154)
chr7	113876826	113919093	7q11.23-q21.11	7q31.1	600917	PPP1R3A, PPP1R3	Protein phosphatase 1, regulatory subunit 3A	PPP1R3A	5506	ENSG00000154415		Insulin resistance, severe, digenic, 125853 (3), Autosomal dominant	Ppp1r3a (MGI:2153588)
chr7	124822385	124929982	7q31.33	7q31.33	606478	POT1, CMM10, GLM9	Protection of telomeres 1	POT1	25913	ENSG00000128513		{Glioma susceptibility 9}, 616568 (3), Autosomal dominant; {Melanoma, cutaneous malignant, susceptibility to, 10}, 615848 (3), Autosomal dominant	Pot1a (MGI:2141503)
chr7	128954179	129055172	7q32.1	7q32.1	610032	TNPO3, TRNSR, LGMD1F	Transportin 3	TNPO3	23534	ENSG00000064419		Muscular dystrophy, limb-girdle, type 1F, 608423 (3), Autosomal dominant	Tnpo3 (MGI:1196412)
chr8	19939070	19967258	8p22	8p21.3	609708	LPL, LIPD, HDLCQ11	Lipoprotein lipase	LPL	4023	ENSG00000175445		Combined hyperlipidemia, familial, 144250 (3), Autosomal dominant; [High density lipoprotein cholesterol level QTL 11] (3); Lipoprotein lipase deficiency, 238600 (3), Autosomal recessive	Lpl (MGI:96820)
chr8	31033261	31175870	8p12-p11.2	8p12	604611	RECQL2, RECQ3, WRN	DNA helicase, RecQ-like 2	WRN	7486	ENSG00000165392		Werner syndrome, 277700 (3), Autosomal recessive	Wrn (MGI:109635)
chr8	42416461	42542212	8p11.21	8p11.21	158378	SLC20A2, MLVAR, GLVR2, IBGC1	Solute carrier family 20, phosphate transporter, member 2 (murine leukemia virus, amphotropic, receptor for)	SLC20A2	6575	ENSG00000168575		Basal ganglia calcification, idiopathic, 1, 213600 (3), Autosomal dominant	Slc20a2 (MGI:97851)
chr8	54457934	54460895	8q12-q13	8q11.23	610928	SOX17, VUR3	SRY-box 17	SOX17	64321	ENSG00000164736		Vesicoureteral reflux 3, 613674 (3), Autosomal dominant	Sox17 (MGI:107543)
chr8	73780096	73878909	8q13-q21.1	8q21.11	614277	UBE2W, UBC16	Ubiquitin-conjugating enzyme 2W	UBE2W	55284	ENSG00000104343			Ube2w (MGI:1914049)
chr8	89757746	89791063	8q21.3	8q21.3	603455	RIPK2, CARDIAK, RIP2, RICK	Receptor-interacting serine/threonine kinase 2	RIPK2	8767	ENSG00000104312			Ripk2 (MGI:1891456)
chr8	100150610	100154001	8p22	8q22.2	606033	POLR2K, RPB12	Polymerase II, RNA, subunit K	POLR2K	5440	ENSG00000147669			Polr2k (MGI:102725)
chr8	102252272	102412688	8q22.3	8q22.3	608413	UBR5, EDD1, HYD, KIAA0896	Ubiquitin protein ligase E3 component n-recognin 5	UBR5	51366	ENSG00000104517			Ubr5 (MGI:1918040)
chr8	117520712	117540261	8q24.11	8q24.11	610237	MED30, TRAP25, THRAP6	Mediator complex subunit 30	MED30	90390	ENSG00000164758			Med30 (MGI:1917040)
chr8	139727724	140458578	8q24.3	8q24.3	611966	TRAPPC9, NIBP, KIAA1882, MRT13	Trafficking protein particle complex 9	TRAPPC9	83696	ENSG00000167632		Mental retardation, autosomal recessive 13, 613192 (3), Autosomal recessive	Trappc9 (MGI:1923760)
chr8	144051265	144064025	8q24.3	8q24.3	614243	OPLAH, OPLAHD	5-oxoprolinase (ATP-hydrolyzing)	OPLAH	26873	ENSG00000178814		5-oxoprolinase deficiency, 260005 (3), Autosomal recessive, Autosomal dominant	Oplah (MGI:1922725)
chr9	21367371	21368075	9p22	9p21.3	147578	IFNA13	Interferon, alpha-13	IFNA13	3447	ENSG00000233816
chr9	33110640	33167357	9p13	9p21.1	137060	B4GALT1, GGTB2, GT1, GTB, CDG2D	Glycoprotein-4-beta-galactosyltransferase-2 (EC 2.4.1.22)	B4GALT1	2683	ENSG00000086062		Congenital disorder of glycosylation, type IId, 607091 (3), Autosomal recessive	B4galt1 (MGI:95705)
chr9	35073837	35080015	9p13	9p13.3	602956	XRCC9, FANCG	X-ray repair, complementing defective, in Chinese hamster, 9	FANCG	2189	ENSG00000221829		Fanconi anemia, complementation group G, 614082 (3)	Fancg (MGI:1926471)
chr9	97633422	97673747	9q22.3-q31	9q22.33	600469	NCBP1	Nuclear cap binding protein 1, 80kD	NCBP1	4686	ENSG00000136937	in 500kb of XPA		Ncbp1 (MGI:1891840)
chr9	120816052	120843020	9q33.2	9q33.2	604452	PSMD5, S5B	Proteasome 26S subunit, non-ATPase, 5	PSMD5	5711	ENSG00000095261			Psmd5 (MGI:1914248)
chr9	121201482	121332843	9q34	9q33.2	137350	GSN	Gelsolin	GSN	2934	ENSG00000148180	40kb proximal to ABL	Amyloidosis, Finnish type, 105120 (3), Autosomal dominant	Gsn (MGI:95851)
chr9	128882111	128918041	9q34.13	9q34.11	608360	LRRC8A, KIAA1437, AGM5	Leucine-rich repeat-containing 8A	LRRC8A	56262	ENSG00000136802	mutation identified in 1 AGM5 patient	?Agammaglobulinemia 5, 613506 (3), Autosomal dominant	Lrrc8a (MGI:2652847)
chr9	129812941	129824161	9q34	9q34.11	605204	DYT1, TOR1A	Torsin A	TOR1A	1861	ENSG00000136827		{Dystonia-1, modifier of} (3); Dystonia-1, torsion, 128100 (3), Autosomal dominant	Tor1a (MGI:1353568)
chr9	130444706	130501273	9q34.1	9q34.11	603470	ASS1, ASS	Argininosuccinate synthetase 1	ASS1	445	ENSG00000130707	14 pseudogenes on 11 chromosomes, including X and Y and ASSP2 on 6p23-q12	Citrullinemia, 215700 (3), Autosomal recessive	Ass1 (MGI:88090)
chr9	131576769	131740067	9q34.3	9q34.13	600303	RAPGEF1, GRF2, C3G	RAP guanine nucleotide exchange factor 1	RAPGEF1	2889	ENSG00000107263			Rapgef1 (MGI:104580)
chr9	137618991	137836126	9q34.3	9q34.3	607001	EHMT1, EUHMTASE1, DEL9q34, KLEFS1	Euchromatic histone methyltransferase 1	EHMT1	79813	ENSG00000181090		Kleefstra syndrome 1, 610253 (3), Autosomal dominant	Ehmt1 (MGI:1924933)
chr10	5948896	5978740	10p15-p14	10p15.1	601070	IL15RA	Interleukin-15 receptor, alpha	IL15RA	3601	ENSG00000134470			Il15ra (MGI:104644)
chr10	15513948	15720334	10p13	10p13	604063	ITGA8, RHDA1	Integrin, alpha-8	ITGA8	8516	ENSG00000077943		Renal hypodysplasia/aplasia 1, 191830 (3), Autosomal recessive	Itga8 (MGI:109442)
chr10	26938194	27100497	10p12.1	10p12.1	610855	ANKRD26, KIAA1074, THC2	Ankyrin repeat domain-containing protein 26	ANKRD26	22852	ENSG00000107890		Thrombocytopenia 2, 188000 (3), Autosomal dominant	Ankrd26 (MGI:1917887)
chr10	32900317	32958364	10p11.2	10p11.22	135630	ITGB1, FNRB	Integrin, beta-1 (fibronectin receptor, beta polypeptide; antigen CD29 includes MDF2, MSK12)	ITGB1	3688	ENSG00000150093	pseudogene FNRBL on 19p		Itgb1 (MGI:96610)
chr10	60026297	60733525	10q21	10q21.2	600465	ANK3, MRT37	Ankyrin-3, node of Ranvier	ANK3	288	ENSG00000151150	mutation identified in 1 family	?Mental retardation, autosomal recessive, 37, 615493 (3), Autosomal recessive	Ank3 (MGI:88026)
chr10	73436427	73496023	10q21-q22	10q22.2	114106	PPP3CB, CALNB	Protein phosphatase-3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	PPP3CB	5532	ENSG00000107758			Ppp3cb (MGI:107163)
chr10	74824926	75032622	10q22	10q22.2	605880	KAT6B, MYST4, MORF, GTPTS	Lysine acetyltransferase 6B	KAT6B	23522	ENSG00000156650		Genitopatellar syndrome, 606170 (3), Autosomal dominant; SBBYSS syndrome, 603736 (3), Autosomal dominant
chr10	98416192	98446962	10q23.1	10q24.2	604982	HPS1	HPS gene 1	HPS1	3257	ENSG00000107521		Hermansky-Pudlak syndrome 1, 203300 (3), Autosomal recessive	Hps1 (MGI:2177763)
chr10	114280759	114404777	10q25.3	10q25.3	612420	AFAP1L2, XB130, KIAA1914	Actin filament-associated protein 1-like protein 2	AFAP1L2	84632	ENSG00000169129			Afap1l2 (MGI:2147658)
chr10	123154243	123165369	10q24-q26	10q26.13	603719	BUB3	Budding uninhibited by benzimidazoles 3, S. cerevisiae, homolog of	BUB3	9184	ENSG00000154473			Bub3 (MGI:1343463)
chr11	5590905	5685108	11p15	11p15.4	608487	TRIM5, RNF88	Tripartite motif-containing protein 5	TRIM5	85363	ENSG00000132256			Trim5,Trim12c (MGI:4821183,MGI:3646853)
chr11	9778666	10294206	11p15	11p15.4	607697	SBF2, MTMR13, CMT4B2	SET binding factor 2 (myotubularin-related 13)	SBF2	81846	ENSG00000133812		Charcot-Marie-Tooth disease, type 4B2, 604563 (3), Autosomal recessive	Sbf2 (MGI:1921831)
chr11	18480310	18526955	11p15.2-p15.1	11p15.1	601387	TSG101	Tumor susceptibility gene 101	TSG101	7251	ENSG00000074319		Breast cancer, somatic, 114480 (3)	Tsg101 (MGI:106581)
chr11	47331405	47352701	11p11.2	11p11.2	600958	MYBPC3, CMH4, CMD1MM, LVNC10	Myosin-binding protein C, cardiac	MYBPC3	4607	ENSG00000134571		Cardiomyopathy, dilated, 1MM, 615396 (3), Autosomal dominant; Cardiomyopathy, hypertrophic, 4, 115197 (3), Autosomal dominant; Left ventricular noncompaction 10, 615396 (3), Autosomal dominant	Mybpc3 (MGI:102844)
